desc_cod_agua_canalizada_fam;cod_familiar_fam
Sim;387258
Sim;17986427
Sim;20583591
Sim;24902500
Não;29681936
Sim;32078544
Sim;37884239
Sim;39375005
Sim;41272935
Sim;41275608
Sim;48196592
Sim;56691890
Sim;62264265
Sim;63883961
Sim;66173876
Sim;66180147
Sim;66212014
Sim;72185244
Sim;74188925
Sim;78193907
Sim;585182159
Sim;585182400
Sim;585183392
Sim;585183988
Sim;585184364
Sim;585186146
Sim;585187894
Sim;585187975
Sim;585188351
Sim;585191069
Sim;585191220
Sim;585191735
Sim;585192464
Sim;585192707
Sim;585193193
Sim;585198748
Sim;585199710
Sim;97393002
Sim;106336428
Sim;110163532
Sim;120028875
Sim;128876336
Sim;139806709
Sim;153373245
Sim;161152520
Sim;161187153
Sim;161724507
Sim;184824656
Sim;192478265
Sim;198680902
Sim;210565799
Sim;211109215
Sim;216527830
Sim;216606543
Sim;229700101
Sim;258074639
Sim;300083874
Sim;308250320
Sim;317471244
Sim;319267547
Sim;323412378
Sim;325613699
Sim;349674868
Sim;372404391
Sim;382536584
Sim;401198820
Sim;406062102
Sim;410538426
Sim;414784952
Sim;416454054
Sim;416511899
Sim;433526858
Sim;442993625
Sim;452173000
Sim;477624707
Sim;481733981
Sim;488312396
Sim;488314410
Sim;488315492
Sim;488315816
Sim;488316707
Sim;488318670
Sim;488320305
Sim;488320496
Sim;488320739
Sim;488490570
Sim;488490901
Sim;488491118
Sim;488491207
Sim;488491703
Sim;488493919
Sim;510954839
Sim;514468394
Sim;514843071
Sim;515158739
Sim;525321780
Sim;528149040
Sim;560272065
Sim;582901847
Sim;585174300
Sim;585175020
Sim;585176426
Sim;585177902
Sim;585179441
Sim;585203172
Sim;585206007
Sim;585207917
Sim;585208301
Sim;585211191
Sim;585211604
Sim;585214450
Sim;585214964
Sim;585212830
Sim;585213135
Sim;585213801
Sim;585223793
Sim;585224412
Sim;585224501
Sim;585224765
Sim;585227195
Sim;585228167
Sim;585215260
Sim;585215693
Sim;585217122
Sim;585217203
Sim;585219095
Sim;585219257
Sim;585222479
Sim;585232946
Sim;585234809
Sim;585235376
Sim;585235619
Sim;585245096
Sim;585248192
Sim;585248354
Sim;585249830
Sim;585232431
Sim;585238715
Sim;585242070
Sim;585251061
Sim;585251304
Sim;585252386
Sim;585256705
Sim;585257930
Sim;585260567
Sim;585260729
Sim;585262004
Não;585262187
Sim;585265011
Sim;585267308
Sim;585267650
Sim;585269785
Sim;585271682
Sim;585271763
Sim;585272905
Sim;585273111
Sim;585273464
Sim;585274002
Sim;585276218
Sim;585277028
Sim;585280088
Sim;585283265
Sim;585283850
Sim;665389043
Sim;665390483
Sim;665390645
Sim;665390998
Sim;665393156
Sim;585285551
Sim;585286442
Sim;585288062
Sim;585293570
Sim;815816456
Sim;821610201
Sim;978584635
Sim;978587065
Sim;1010647997
Sim;1096361710
Sim;1096364140
Sim;1096364573
Sim;585298459
Sim;585300372
Sim;585303983
Sim;585305099
Sim;585307709
Sim;585308780
Sim;585312460
Sim;585315809
