ano;cnae_2_descricao_secao;variable;media_idade
2010;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;34.22941176470588
2010;Informação E Comunicação;Admissões;28.17398202009519
2024;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;31.119493537325244
2014;Outras Atividades De Serviços;Demissões;32.70773638968481
2023;Transporte, Armazenagem E Correio;Demissões;34.196342392684784
2020;Construção;Demissões;36.27242076871207
2010;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;28.230409812128883
2010;Saúde Humana E Serviços Sociais;Admissões;29.512682551883167
2024;Construção;Demissões;35.77204679833942
2023;Outras Atividades De Serviços;Demissões;33.14244741873805
2020;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;28.389830508474578
2011;Atividades Profissionais, Científicas E Técnicas;Admissões;29.663396689147763
2010;Atividades Profissionais, Científicas E Técnicas;Admissões;30.5466816647919
2011;Construção;Demissões;33.78012092611709
2012;Atividades Profissionais, Científicas E Técnicas;Demissões;30.675962815405047
2024;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;30.999408480905025
2022;Educação;Admissões;35.3106350420811
2020;Saúde Humana E Serviços Sociais;Admissões;31.498371335504885
2010;Construção;Demissões;33.66791930379747
2010;Educação;Admissões;31.840225563909776
2022;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;30.873603786903626
2021;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;33.1536523929471
2010;Organismos Internacionais E Outras Instituições Extraterritoriais;Admissões;25.206642066420663
2021;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;30.979877751933792
2010;Indústrias De Transformação;Admissões;29.721869470177996
2010;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;29.035424354243542
2022;Atividades Imobiliárias;Admissões;32.59919028340081
2020;Atividades Profissionais, Científicas E Técnicas;Admissões;28.59385065885798
2012;Administração Pública, Defesa E Seguridade Social;Demissões;42.97312005277045
2022;Atividades Profissionais, Científicas E Técnicas;Demissões;31.16269906419307
2024;Transporte, Armazenagem E Correio;Demissões;32.923416370106764
2023;Saúde Humana E Serviços Sociais;Admissões;29.26894031668697
2020;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;33.05732484076433
2014;Educação;Demissões;28.995157384987895
2024;Outras Atividades De Serviços;Demissões;33.0976
2021;Educação;Demissões;36.96169711255156
2020;Atividades Administrativas E Serviços Complementares;Demissões;32.50190726455879
2021;Alojamento E Alimentação;Demissões;29.46611253196931
2021;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;35.67487684729064
2012;Saúde Humana E Serviços Sociais;Admissões;30.76126878130217
2022;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;32.578947368421055
2012;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;34.2710843373494
2011;Indústrias De Transformação;Admissões;29.793912284529785
2011;Outras Atividades De Serviços;Admissões;30.42016806722689
2024;Administração Pública, Defesa E Seguridade Social;Admissões;35.223404255319146
2020;Atividades Imobiliárias;Admissões;31.79874213836478
2012;Atividades Profissionais, Científicas E Técnicas;Admissões;29.460910944935417
2024;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;34.901162790697676
2024;Atividades Profissionais, Científicas E Técnicas;Admissões;31.087033053002152
2022;Outras Atividades De Serviços;Admissões;31.782306163021868
2020;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;36.094027202838554
2011;Construção;Admissões;32.8727641760751
2023;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;30.9429494983418
2012;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;27.45412718836511
2010;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;27.48987479367124
2011;Educação;Admissões;30.680489101541735
2014;Organismos Internacionais E Outras Instituições Extraterritoriais;Admissões;26.176470588235293
2024;Construção;Admissões;35.15373369320738
2010;Transporte, Armazenagem E Correio;Admissões;31.95003265839321
2014;Alojamento E Alimentação;Demissões;27.031871701177426
2021;Indústrias De Transformação;Admissões;32.87691401648999
2011;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;31.938069216757743
2012;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;31.490521327014218
2024;Atividades Administrativas E Serviços Complementares;Admissões;32.89807838327201
2022;Saúde Humana E Serviços Sociais;Admissões;30.190702588483887
2020;Transporte, Armazenagem E Correio;Demissões;36.350474683544306
2024;Atividades Administrativas E Serviços Complementares;Demissões;33.08837513372162
2020;Indústrias De Transformação;Demissões;36.32579403272377
2010;Organismos Internacionais E Outras Instituições Extraterritoriais;Demissões;25.275
2014;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;27.824670824670825
2010;Alojamento E Alimentação;Demissões;29.853501318488135
2014;Atividades Administrativas E Serviços Complementares;Demissões;29.881126718469815
2024;Informação E Comunicação;Demissões;32.8462304882099
