ano;cnae_2_descricao_secao;variable;salario_medio
2007;Administração pública, defesa e seguridade social;Admissões;691.5470730235365
2007;Administração pública, defesa e seguridade social;Demissões;833.6073466476462
2007;Agricultura, pecuária, produção florestal, pesca e aquicultura;Admissões;508.49411764705883
2007;Agricultura, pecuária, produção florestal, pesca e aquicultura;Demissões;637.9245283018868
2007;Alojamento e alimentação;Admissões;578.900113507378
2007;Alojamento e alimentação;Demissões;632.7456453774006
2007;Artes, cultura, esporte e recreação;Admissões;532.9548387096775
2007;Artes, cultura, esporte e recreação;Demissões;530.6064981949459
2007;Atividades administrativas e serviços complementares;Admissões;750.4201210287443
2007;Atividades administrativas e serviços complementares;Demissões;752.1742814421
2007;Atividades financeiras, de seguros e serviços relacionados;Admissões;1212.9023722627737
2007;Atividades financeiras, de seguros e serviços relacionados;Demissões;2395.1007194244603
2007;Atividades imobiliárias;Admissões;677.1666666666666
2007;Atividades imobiliárias;Demissões;729.2763157894736
2007;Atividades profissionais, científicas e técnicas;Admissões;877.6952380952381
2007;Atividades profissionais, científicas e técnicas;Demissões;874.753125
2007;"Comércio; reparação de veículos automotores e motocicletas";Admissões;674.6288667244869
2007;"Comércio; reparação de veículos automotores e motocicletas";Demissões;762.4368501789671
2007;Construção;Admissões;665.3226687475615
2007;Construção;Demissões;667.3239436619718
2007;Educação;Admissões;919.7367915465899
2007;Educação;Demissões;1428.712619300106
2007;Indústrias de transformação;Admissões;1097.975773031559
2007;Indústrias de transformação;Demissões;1414.0884823595295
2007;Informação e comunicação;Admissões;1125.9463601532566
2007;Informação e comunicação;Demissões;1450.526371308017
2007;Outras atividades de serviços;Admissões;830.5403225806451
2007;Outras atividades de serviços;Demissões;992.8843683083512
2007;Saúde humana e serviços sociais;Admissões;811.7626666666666
2007;Saúde humana e serviços sociais;Demissões;896.558692421991
2007;Serviços domésticos;Admissões;550.0
2007;Serviços domésticos;Demissões;446.0
2007;Transporte, armazenagem e correio;Admissões;771.4469387755101
2007;Transporte, armazenagem e correio;Demissões;857.2138487888427
2007;Água, esgoto, atividades de gestão de resíduos e descontaminação;Admissões;699.0
2007;Água, esgoto, atividades de gestão de resíduos e descontaminação;Demissões;697.11875
2008;Administração pública, defesa e seguridade social;Admissões;664.340661421195
2008;Administração pública, defesa e seguridade social;Demissões;629.1012800620636
2008;Agricultura, pecuária, produção florestal, pesca e aquicultura;Admissões;80.76945454545454
2008;Agricultura, pecuária, produção florestal, pesca e aquicultura;Demissões;51.832068965517244
2008;Alojamento e alimentação;Admissões;624.406934802294
2008;Alojamento e alimentação;Demissões;656.961678857541
2008;Artes, cultura, esporte e recreação;Admissões;816.8860752688172
2008;Artes, cultura, esporte e recreação;Demissões;746.2334848484849
2008;Atividades administrativas e serviços complementares;Admissões;730.7153857791226
2008;Atividades administrativas e serviços complementares;Demissões;726.9735786043987
2008;Atividades financeiras, de seguros e serviços relacionados;Admissões;1293.2822976190475
2008;Atividades financeiras, de seguros e serviços relacionados;Demissões;1935.237961095101
2008;Atividades imobiliárias;Admissões;831.7033898305085
2008;Atividades imobiliárias;Demissões;809.5333333333333
2008;Atividades profissionais, científicas e técnicas;Admissões;816.7270956719818
2008;Atividades profissionais, científicas e técnicas;Demissões;813.3562923076922
2008;"Comércio; reparação de veículos automotores e motocicletas";Admissões;682.1848384959417
2008;"Comércio; reparação de veículos automotores e motocicletas";Demissões;756.818671790637
2008;Construção;Admissões;644.9849669025336
2008;Construção;Demissões;641.8052031163049
2008;Educação;Admissões;861.2605874125874
2008;Educação;Demissões;1254.965973295854
2008;Indústrias de transformação;Admissões;1028.0654276439006
2008;Indústrias de transformação;Demissões;1243.9642920413366
2008;Indústrias extrativas;Admissões;678.0
2008;Indústrias extrativas;Demissões;625.2
2008;Informação e comunicação;Admissões;875.3670243902438
2008;Informação e comunicação;Demissões;1247.777201274562
2008;Organismos internacionais e outras instituições extraterritoriais;Admissões;510.0
2008;Organismos internacionais e outras instituições extraterritoriais;Demissões;510.0
2008;Outras atividades de serviços;Admissões;669.6715215311004
2008;Outras atividades de serviços;Demissões;759.0372597402596
