ano;idade_grupo;saldo_movimentacao
2015;31-35;-1933
2017;46-50;-1914
2017;51-55;-1865
2016;31-35;-1848
2016;26-30;-1785
2015;36-40;-1782
2015;46-50;-1699
2016;36-40;-1584
2015;41-45;-1576
2015;26-30;-1537
2017;41-45;-1358
2017;56-60;-1352
2017;31-35;-1330
2015;51-55;-1322
2017;36-40;-1308
2016;41-45;-1160
2015;56-60;-1104
2016;46-50;-1026
2016;51-55;-1007
2016;21-25;-958
2015;21-25;-928
2016;56-60;-927
2018;36-40;-806
2020;51-55;-798
2020;56-60;-791
2017;26-30;-785
2023;31-35;-780
2019;46-50;-752
2019;51-55;-738
2019;41-45;-718
2017;61-65;-711
2020;46-50;-710
2015;61-65;-705
2023;36-40;-695
2018;51-55;-685
2018;56-60;-668
2019;56-60;-653
2018;46-50;-605
2020;41-45;-580
2018;41-45;-563
2023;26-30;-535
2016;61-65;-526
2020;61-65;-518
2023;41-45;-516
2019;36-40;-484
2020;36-40;-450
2023;46-50;-432
2018;61-65;-432
2014;56-60;-421
2023;51-55;-407
2011;56-60;-402
2019;61-65;-394
2024;61-65;-376
2018;31-35;-376
2013;31-35;-371
2023;56-60;-365
2014;36-40;-348
2014;51-55;-340
2011;51-55;-336
2009;31-35;-329
2012;36-40;-320
2023;61-65;-320
2012;56-60;-314
2012;51-55;-310
2012;41-45;-306
2013;51-55;-289
2014;61-65;-281
2011;46-50;-274
2014;31-35;-263
2009;56-60;-260
2013;36-40;-260
2017;66-70;-257
2008;51-55;-252
2015;66-70;-250
2019;31-35;-247
2011;41-45;-244
2013;56-60;-235
2018;66-70;-215
2021;61-65;-214
2012;61-65;-194
2013;46-50;-194
2020;66-70;-190
2009;36-40;-180
2014;46-50;-172
2016;66-70;-171
2011;36-40;-169
2013;61-65;-169
2020;31-35;-166
2012;46-50;-163
2014;41-45;-163
2022;56-60;-156
2014;26-30;-155
2022;61-65;-153
2009;46-50;-150
2011;61-65;-148
2010;56-60;-141
2023;66-70;-141
2009;51-55;-129
2008;61-65;-124
2019;66-70;-123
2009;61-65;-115
2024;66-70;-114
2021;66-70;-109
2009;41-45;-108
2025;61-65;-99
2022;66-70;-90
2014;66-70;-89
2008;56-60;-83
2017;71-75;-77
2025;66-70;-76
2015;71-75;-69
2018;71-75;-68
2013;66-70;-67
2012;66-70;-64
2012;31-35;-61
2010;66-70;-59
2020;71-75;-58
2016;71-75;-57
2011;66-70;-56
2007;61-65;-46
2019;71-75;-42
2010;61-65;-41
2022;71-75;-36
2023;71-75;-35
2014;71-75;-32
2009;66-70;-31
2012;71-75;-30
2008;66-70;-29
2024;71-75;-27
2025;71-75;-27
2025;56-60;-26
2021;71-75;-24
2016;76-80;-23
2010;71-75;-22
2008;46-50;-20
2008;41-45;-20
2007;66-70;-18
2007;71-75;-18
2023;76-80;-17
2018;76-80;-17
2020;26-30;-16
2011;71-75;-16
2013;71-75;-16
2024;76-80;-15
2017;76-80;-15
2009;71-75;-12
2019;76-80;-11
2021;76-80;-10
2018;81-85;-9
2022;76-80;-6
2024;56-60;-6
2020;76-80;-6
2015;76-80;-6
2008;71-75;-6
2016;81-85;-6
2025;76-80;-5
2008;76-80;-5
2009;76-80;-5
2023;0-5;-4
2012;76-80;-4
2014;81-85;-4
2011;76-80;-4
2012;86-90;-4
2021;56-60;-3
2023;86-90;-3
2012;81-85;-3
2007;76-80;-3
2010;76-80;-3
2007;81-85;-3
2020;81-85;-2
2021;81-85;-2
2023;81-85;-2
2008;0-5;-2
2018;86-90;-2
2015;91-95;-2
2015;81-85;-2
2011;86-90;-2
2024;86-90;-1
2024;0-5;-1
2013;76-80;-1
2017;81-85;-1
2019;81-85;-1
2014;76-80;-1
2013;81-85;-1
2010;81-85;-1
2017;91-95;-1
2011;81-85;-1
2017;86-90;-1
2014;86-90;-1
2014;91-95;-1
2009;81-85;-1
2022;86-90;0
2016;86-90;0
2025;81-85;0
2022;81-85;1
2024;81-85;1
2021;86-90;1
2013;91-95;1
2018;6-10;1
2017;6-10;1
2018;96-100;1
2011;6-10;2
2007;0-5;3
2013;26-30;4
2013;41-45;12
2022;0-5;20
2020;11-15;30
2022;51-55;52
2023;21-25;77
2022;11-15;78
2017;11-15;79
2023;11-15;89
2021;11-15;94
2019;11-15;94
2024;11-15;96
2018;11-15;100
2012;26-30;102
2025;11-15;103
2007;11-15;110
2011;26-30;113
2009;11-15;113
2009;26-30;125
2008;36-40;134
2007;56-60;161
2010;51-55;167
2008;11-15;167
2008;31-35;178
2016;11-15;182
2011;31-35;185
2011;11-15;192
