ano;mes;cnae_2_descricao_secao;saldo_movimentacao;salario_mensal
2024;5;Educação;27;7138532.819999994
2021;10;Atividades Profissionais, Científicas E Técnicas;329;6038439.570000008
2021;10;Saúde Humana E Serviços Sociais;-24;926847.1500000008
2020;2;Administração Pública, Defesa E Seguridade Social;-70;82686.78999999998
2010;9;Indústrias De Transformação;166;1673086.12
2024;11;Outras Atividades De Serviços;10;452330.1
2021;4;Atividades Imobiliárias;10;52544.74
2010;8;Construção;319;896290.64
2012;8;Atividades Imobiliárias;5;45495.0
2021;2;Atividades Administrativas E Serviços Complementares;764;4544481.809999989
2010;8;Atividades Administrativas E Serviços Complementares;321;1320797.14
2021;3;Construção;150;3649018.1000000187
2022;2;Indústrias De Transformação;-43;4713949.410000003
2024;12;Atividades Financeiras, De Seguros E Serviços Relacionados;145;4520552.719999998
2022;9;Construção;45;2420365.7600000063
2021;11;Atividades Profissionais, Científicas E Técnicas;287;6101454.590000005
2020;3;Atividades Administrativas E Serviços Complementares;-83;3168538.6799999913
2020;7;"Comércio; Reparação De Veículos Automotores E Motocicletas";-41;3465525.8499999978
2022;4;Atividades Imobiliárias;0;88465.6
2022;5;Indústrias De Transformação;108;3851200.0199999996
2020;10;Artes, Cultura, Esporte E Recreação;11;80051.08000000002
2022;12;Atividades Profissionais, Científicas E Técnicas;36;8131940.470000011
2021;5;Transporte, Armazenagem E Correio;293;3223232.250000012
2021;9;Informação E Comunicação;151;1710494.0899999999
2022;9;Administração Pública, Defesa E Seguridade Social;4;9696.0
2012;8;Atividades Administrativas E Serviços Complementares;10;1712867.93
2012;8;Alojamento E Alimentação;-18;1248481.84
2022;5;Atividades Profissionais, Científicas E Técnicas;230;10243597.62
2024;2;Educação;160;43290662.900000006
2020;10;Construção;-91;1877484.6799999934
2022;2;Alojamento E Alimentação;90;1156282.360000001
2024;12;Atividades Profissionais, Científicas E Técnicas;44;4330138.23
2014;8;Outras Atividades De Serviços;-18;189459.97
2020;5;Indústrias De Transformação;-222;6042546.989999999
2022;5;"Comércio; Reparação De Veículos Automotores E Motocicletas";-137;8342789.060000006
2021;1;Saúde Humana E Serviços Sociais;7;561723.4600000001
2022;10;Saúde Humana E Serviços Sociais;67;1270262.310000001
2022;4;Atividades Administrativas E Serviços Complementares;407;10237452.52000001
2021;9;Atividades Imobiliárias;13;48098.46
2020;4;Saúde Humana E Serviços Sociais;-87;297263.72
2024;1;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;2;140338.12999999995
2020;10;Administração Pública, Defesa E Seguridade Social;-18;24672.9
2014;8;"Comércio; Reparação De Veículos Automotores E Motocicletas";413;5429858.0
2021;9;Administração Pública, Defesa E Seguridade Social;39;79061.98999999999
2022;8;Indústrias De Transformação;77;3956829.640000001
2020;1;Indústrias De Transformação;45;1504474.1499999997
2012;8;Construção;-24;1073751.17
2020;7;Administração Pública, Defesa E Seguridade Social;-7;11905.36
2012;2;Outras Atividades De Serviços;-2;178174.23
2024;6;Administração Pública, Defesa E Seguridade Social;-2;5208.0
2024;6;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;0;139768.33000000002
2012;2;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-29;91259.0
2014;2;Atividades Imobiliárias;-4;52205.1
2014;2;Atividades Profissionais, Científicas E Técnicas;-37;256672.72
2021;3;Atividades Profissionais, Científicas E Técnicas;345;5609730.370000005
2021;1;Administração Pública, Defesa E Seguridade Social;-7;15555.77
2021;6;Educação;-99;3671087.47
2022;8;Atividades Imobiliárias;4;70510.68000000001
2020;7;Artes, Cultura, Esporte E Recreação;-6;67187.96
2022;10;Informação E Comunicação;77;1569862.980000001
2011;3;Saúde Humana E Serviços Sociais;12;240363.02
2014;2;Saúde Humana E Serviços Sociais;32;376057.31
2021;3;Atividades Imobiliárias;5;45432.05
2022;5;Informação E Comunicação;27;1822274.61
2023;1;Atividades Profissionais, Científicas E Técnicas;-13;4921407.550000002
2022;1;"Comércio; Reparação De Veículos Automotores E Motocicletas";-416;7712317.419999995
2014;12;Educação;-407;1043978.7000000001
2022;6;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;0;108776.85000000002
2022;4;Transporte, Armazenagem E Correio;-104;3527881.2999999835
2022;10;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-8;72688.79
2020;4;Artes, Cultura, Esporte E Recreação;-60;111229.52999999997
2024;2;Transporte, Armazenagem E Correio;-730;5747736.160000024
2021;10;Transporte, Armazenagem E Correio;320;3287144.049999999
2022;5;Construção;-125;2377827.239999996
2022;1;Atividades Imobiliárias;-8;72296.87
2022;8;Informação E Comunicação;-42;1388966.2800000003
2022;6;Alojamento E Alimentação;157;1219934.2400000026
2023;1;Construção;115;2198547.21
2021;3;Outras Atividades De Serviços;-22;151832.48000000004
2020;12;Construção;-61;1129634.1099999992
2021;3;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;3;3283.5
2022;1;Educação;137;53273704.73999998
2020;4;Informação E Comunicação;-98;528154.8100000003
2022;5;Alojamento E Alimentação;92;1223627.4399999978
2023;1;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-15;67040.56
2024;6;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1;6511.7300000000005
2020;1;Alojamento E Alimentação;-31;994850.129999999
2011;3;Construção;27;884273.85
2021;1;Alojamento E Alimentação;-35;698316.9399999991
2022;9;Atividades Financeiras, De Seguros E Serviços Relacionados;-9;410676.93999999994
2014;2;Indústrias De Transformação;46;2021208.32
2022;4;"Comércio; Reparação De Veículos Automotores E Motocicletas";305;7661385.4000000255
2020;10;Saúde Humana E Serviços Sociais;-4;337882.94999999995
2021;6;Atividades Imobiliárias;5;58067.090000000004
2021;10;Administração Pública, Defesa E Seguridade Social;0;10067.57
2020;2;Outras Atividades De Serviços;-24;322375.1700000001
2020;1;Educação;113;1899596.1299999994
2020;8;Informação E Comunicação;-22;452931.20000000007
2020;9;Informação E Comunicação;-15;668766.3399999999
2022;9;Saúde Humana E Serviços Sociais;126;1215460.6100000003
2020;4;"Comércio; Reparação De Veículos Automotores E Motocicletas";-1153;4552199.610000003
2020;12;Administração Pública, Defesa E Seguridade Social;-5;15927.519999999999
2024;5;Alojamento E Alimentação;17;2186704.2100000037
2024;6;Transporte, Armazenagem E Correio;374;6530050.480000001
2022;9;Atividades Administrativas E Serviços Complementares;617;9213562.449999904
2022;8;Alojamento E Alimentação;7;1340893.8400000008
2012;2;Informação E Comunicação;-50;821872.15
2010;8;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-6;27125.0
2024;2;Atividades Imobiliárias;20;117257.29000000002
2022;5;Atividades Administrativas E Serviços Complementares;683;10171170.719999885
2024;6;Artes, Cultura, Esporte E Recreação;3;107561.84
2022;1;Atividades Administrativas E Serviços Complementares;-852;10019943.30999986
2022;9;Alojamento E Alimentação;45;1219075.4000000018
2010;8;Artes, Cultura, Esporte E Recreação;-3;15566.0
2010;8;Outras Atividades De Serviços;22;153348.0
2014;2;Transporte, Armazenagem E Correio;-39;1389118.0
2021;3;Artes, Cultura, Esporte E Recreação;-9;72494.58999999998
2022;5;Educação;42;9691436.249999993
