ano;cnae_2_descricao_secao;saldo_movimentacao;salario_mensal
2015;Administração Pública, Defesa E Seguridade Social;-5549;23409303.65999998
2023;Atividades Administrativas E Serviços Complementares;-5098;86060405.14000139
2017;Administração Pública, Defesa E Seguridade Social;-3544;12050619.54
2018;Administração Pública, Defesa E Seguridade Social;-2554;7405636.029999999
2009;Indústrias De Transformação;-2473;18833448.0
2016;"Comércio; Reparação De Veículos Automotores E Motocicletas";-2128;55082504.29
2016;Indústrias De Transformação;-2116;17740331.830000002
2011;Administração Pública, Defesa E Seguridade Social;-1823;6539460.379999998
2015;Informação E Comunicação;-1823;13207452.52999999
2017;Atividades Financeiras, De Seguros E Serviços Relacionados;-1747;23415176.83
2015;Indústrias De Transformação;-1675;22153871.600000005
2016;Construção;-1256;13145448.16
2016;Informação E Comunicação;-1183;11041464.64
2017;Indústrias De Transformação;-1132;16517583.24
2017;Saúde Humana E Serviços Sociais;-1114;5388418.91
2020;Atividades Financeiras, De Seguros E Serviços Relacionados;-983;11697866.76000001
2016;Administração Pública, Defesa E Seguridade Social;-934;8201648.38
2020;Alojamento E Alimentação;-925;8083210.760000007
2016;Atividades Administrativas E Serviços Complementares;-913;22065169.96
2014;Indústrias De Transformação;-811;23796898.23
2015;"Comércio; Reparação De Veículos Automotores E Motocicletas";-758;60987675.09999958
2015;Atividades Administrativas E Serviços Complementares;-754;23309138.41999998
2023;Atividades Financeiras, De Seguros E Serviços Relacionados;-741;22820215.649999954
2012;Indústrias De Transformação;-736;26312974.779999997
2012;Informação E Comunicação;-734;8646874.04
2019;Administração Pública, Defesa E Seguridade Social;-734;1432890.9300000002
2016;Transporte, Armazenagem E Correio;-629;14032664.21
2016;Atividades Financeiras, De Seguros E Serviços Relacionados;-599;9392773.540000001
2019;Indústrias De Transformação;-553;18555396.72
2020;"Comércio; Reparação De Veículos Automotores E Motocicletas";-551;54417061.53999985
2022;"Comércio; Reparação De Veículos Automotores E Motocicletas";-538;102364521.00000004
2013;Indústrias De Transformação;-537;26629312.049999997
2020;Indústrias De Transformação;-519;32711558.469999705
2023;Atividades Profissionais, Científicas E Técnicas;-505;46541262.82999989
2019;Informação E Comunicação;-488;13088169.77
2018;Saúde Humana E Serviços Sociais;-485;7965547.660000001
2008;Atividades Administrativas E Serviços Complementares;-473;15760376.990000004
2020;Administração Pública, Defesa E Seguridade Social;-456;811907.9299999995
2015;Transporte, Armazenagem E Correio;-451;17062962.32000001
2017;Construção;-442;10295730.75
2016;Alojamento E Alimentação;-361;7345059.96
2011;Indústrias De Transformação;-340;25923376.470000003
2020;Transporte, Armazenagem E Correio;-301;21294639.069999766
2014;Transporte, Armazenagem E Correio;-291;16404617.54999999
2017;"Comércio; Reparação De Veículos Automotores E Motocicletas";-278;56406073.78
2017;Indústrias Extrativas;-271;265733.18
2014;Educação;-270;7224737.429999999
2025;Informação E Comunicação;-254;13515323.840000037
2020;Educação;-248;53860714.45999999
2016;Atividades Profissionais, Científicas E Técnicas;-248;3802272.15
2017;Educação;-246;6672494.9
2008;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-238;237815.98
2015;Educação;-233;6978685.020000001
2016;Educação;-231;6493241.22
2009;Alojamento E Alimentação;-228;7619082.749999999
2023;"Comércio; Reparação De Veículos Automotores E Motocicletas";-227;80572677.10000016
2014;Outras Atividades De Serviços;-216;2926793.0300000003
2019;"Comércio; Reparação De Veículos Automotores E Motocicletas";-190;65964984.4
2020;Informação E Comunicação;-183;9936612.76999999
2020;Outras Atividades De Serviços;-181;1849096.5999999996
2015;Atividades Financeiras, De Seguros E Serviços Relacionados;-177;5920486.9
2017;Informação E Comunicação;-158;10942343.34
2008;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-154;29861.390000000007
2013;Informação E Comunicação;-137;10269156.98
2014;Atividades Financeiras, De Seguros E Serviços Relacionados;-133;7635831.0200000005
2018;Informação E Comunicação;-125;12607026.940000001
2007;Artes, Cultura, Esporte E Recreação;-122;229586.0
2020;Saúde Humana E Serviços Sociais;-119;4948242.349999992
