tercodigo;year;value_habitante;municipio;value_km2;densidade_demografica
3549904;1970;148332.0;São José dos Campos;1118.0;132.6762075134168
3552205;1970;175677.0;Sorocaba;456.0;385.25657894736844
3548708;1970;201662.0;São Bernardo do Campo;319.0;632.1692789968652
3543402;1970;212879.0;Ribeirão Preto;1057.0;201.39924314096498
3534401;1970;283073.0;Osasco;67.0;4224.9701492537315
3547809;1970;418826.0;Santo André;159.0;2634.125786163522
3552205;1980;269888.0;Sorocaba;456.0;591.859649122807
3549904;1980;287513.0;São José dos Campos;1118.0;257.16726296958853
3543402;1980;318544.0;Ribeirão Preto;1057.0;301.36613055818356
3548708;1980;425611.0;São Bernardo do Campo;319.0;1334.2037617554859
3534401;1980;474544.0;Osasco;67.0;7082.746268656716
3547809;1980;553077.0;Santo André;159.0;3478.4716981132074
3552205;1991;379006.0;Sorocaba;450.2;841.8613949355843
3543402;1991;436682.0;Ribeirão Preto;1065.9;409.6838352565906
3549904;1991;442370.0;São José dos Campos;1102.2;401.3518417710034
3548708;1991;566893.0;São Bernardo do Campo;407.1;1392.5153524932448
3534401;1991;568225.0;Osasco;65.1;8728.494623655915
3547809;1991;616991.0;Santo André;175.2;3521.6381278538815
3552205;1996;431561.0;Sorocaba;;
3543402;1996;456252.0;Ribeirão Preto;;
3549904;1996;486167.0;São José dos Campos;;
3534401;1996;622912.0;Osasco;;
3547809;1996;624820.0;Santo André;;
3548708;1996;660396.0;São Bernardo do Campo;;
3552205;2000;493468.0;Sorocaba;449.1;1098.793141839234
3543402;2000;504923.0;Ribeirão Preto;650.4;776.3268757687578
3549904;2000;539313.0;São José dos Campos;1099.6;490.4628955983995
3547809;2000;649331.0;Santo André;174.8;3714.70823798627
3534401;2000;652593.0;Osasco;64.9;10055.362095531586
3548708;2000;703177.0;São Bernardo do Campo;406.2;1731.110290497292
3543402;2007;547417.0;Ribeirão Preto;;
3552205;2007;559157.0;Sorocaba;;
3549904;2007;594948.0;São José dos Campos;;
3547809;2007;667891.0;Santo André;;
3534401;2007;701012.0;Osasco;;
3548708;2007;781390.0;São Bernardo do Campo;;
3552205;2010;586625.0;Sorocaba;449.804;1304.1791535868956
3543402;2010;604682.0;Ribeirão Preto;650.955;928.9152091926477
3549904;2010;629921.0;São José dos Campos;1099.409;572.9632920960261
3534401;2010;666740.0;Osasco;64.954;10264.80278350833
3547809;2010;676407.0;Santo André;175.781;3848.0097393916294
3548708;2010;765463.0;São Bernardo do Campo;409.478;1869.3629450178032
3549904;2022;697054.0;São José dos Campos;1099.409;634.0260994770827
3543402;2022;698642.0;Ribeirão Preto;650.916;1073.321288768443
3552205;2022;723682.0;Sorocaba;449.872;1608.6397908738486
3534401;2022;728615.0;Osasco;64.954;11217.400006158205
3547809;2022;748919.0;Santo André;175.782;4260.498799649566
3548708;2022;810729.0;São Bernardo do Campo;409.532;1979.6475000732544
