ano;tamanho_estabelecimento;descricao_secao_cnae;size
2006;1000 ou mais;Administração pública, defesa e seguridade social;1
2006;1000 ou mais;Alojamento e alimentação;1
2006;1000 ou mais;Atividades financeiras, de seguros e serviços relacionados;1
2006;1000 ou mais;"Comércio; reparação de veículos automotores e motocicletas";2
2006;1000 ou mais;Indústrias de transformação;1
2006;1000 ou mais;Informação e comunicação;1
2006;1000 ou mais;Transporte, armazenagem e correio;2
2006;Ate 4;Administração pública, defesa e seguridade social;1
2006;Ate 4;Agricultura, pecuária, produção florestal, pesca e aquicultura;3
2006;Ate 4;Alojamento e alimentação;10
2006;Ate 4;Artes, cultura, esporte e recreação;6
2006;Ate 4;Atividades administrativas e serviços complementares;25
2006;Ate 4;Atividades financeiras, de seguros e serviços relacionados;14
2006;Ate 4;Atividades imobiliárias;5
2006;Ate 4;Atividades profissionais, científicas e técnicas;19
2006;Ate 4;"Comércio; reparação de veículos automotores e motocicletas";136
2006;Ate 4;Construção;19
2006;Ate 4;Educação;16
2006;Ate 4;Indústrias de transformação;103
2006;Ate 4;Indústrias extrativas;1
2006;Ate 4;Informação e comunicação;13
2006;Ate 4;Organismos internacionais e outras instituições extraterritoriais;1
2006;Ate 4;Outras atividades de serviços;19
2006;Ate 4;Saúde e serviços sociais;1
2006;Ate 4;Saúde humana e serviços sociais;25
2006;Ate 4;Serviços domésticos;1
2006;Ate 4;Transporte, armazenagem e correio;19
2006;Ate 4;Água, esgoto, atividades de gestão de resíduos e descontaminação;2
2006;De 10 a 19;Administração pública, defesa e seguridade social;1
2006;De 10 a 19;Agricultura, pecuária, produção florestal, pesca e aquicultura;1
2006;De 10 a 19;Alojamento e alimentação;7
2006;De 10 a 19;Artes, cultura, esporte e recreação;3
2006;De 10 a 19;Atividades administrativas e serviços complementares;15
2006;De 10 a 19;Atividades financeiras, de seguros e serviços relacionados;7
2006;De 10 a 19;Atividades profissionais, científicas e técnicas;5
2006;De 10 a 19;"Comércio; reparação de veículos automotores e motocicletas";89
2006;De 10 a 19;Construção;11
2006;De 10 a 19;Educação;9
2006;De 10 a 19;Indústrias de transformação;58
2006;De 10 a 19;Informação e comunicação;6
2006;De 10 a 19;Outras atividades de serviços;12
2006;De 10 a 19;Saúde humana e serviços sociais;13
2006;De 10 a 19;Transporte, armazenagem e correio;11
2006;De 10 a 19;Água, esgoto, atividades de gestão de resíduos e descontaminação;2
