bairro;cod_familiar_fam;vlr_renda_per_capita_fam;qtd_pessoas_domic_fam;qtd_comodos_domic_fam;qtd_familias_domic_fam;val_desp_energia_fam;val_desp_agua_esgoto_fam;val_desp_alimentacao_fam
Padroeira;5937;579.88;3.21;3.68;1.02;104.1;63.19;432.51
Conceição;5795;655.96;3.18;3.75;1.01;124.56;84.06;463.62
Veloso;5520;711.26;3.14;3.93;1.01;130.31;76.59;465.53
Munhoz Júnior;5165;586.91;3.14;3.56;1.01;115.68;79.5;460.91
Vila Menck;4865;682.3;3.07;3.52;1.0;125.62;75.4;463.93
Rochdale;4608;652.8;3.07;3.56;1.01;137.45;79.58;448.62
Santa Maria;4459;647.16;3.14;3.8;1.01;118.83;71.33;459.37
Portal D'Oeste;3977;511.95;3.34;3.61;1.03;87.15;61.21;507.9
Aliança;3912;669.14;3.04;3.57;1.0;119.48;79.28;474.42
Helena Maria;3687;665.82;3.02;3.45;1.01;128.06;75.15;463.98
Novo Osasco;3394;751.28;3.11;4.01;1.02;130.12;76.11;476.91
Ayrosa;3362;725.27;3.03;3.61;1.0;123.89;76.39;473.59
Jardim Elvira;3310;643.82;3.12;3.51;1.0;161.94;79.33;492.82
Bandeiras;3227;680.06;3.15;3.87;1.02;121.04;74.39;453.67
Jardim Roberto;3100;649.39;3.18;3.75;1.05;120.22;80.04;449.81
Baronesa;3050;622.16;3.15;3.53;1.01;133.42;74.69;502.89
Piratininga;2956;723.08;3.02;3.8;1.01;98.24;64.04;475.45
Bussocaba;2653;640.54;3.2;3.58;1.01;98.13;64.61;440.37
São Pedro;2445;714.34;3.14;3.92;1.02;154.12;69.22;492.36
Santo Antônio;2210;722.63;3.01;3.79;1.02;116.68;72.32;448.12
Bonança;2098;600.91;3.18;3.52;1.01;86.3;59.46;511.63
Mutinga;2083;640.25;3.1;3.58;1.06;122.64;75.22;459.34
Jardim D'Abril;1661;782.33;2.97;3.83;1.02;129.43;81.93;485.04
Jaguaribe;1551;804.77;3.07;3.8;1.02;102.16;59.97;486.08
Vila Yolanda;1541;812.85;2.92;3.83;1.02;127.42;79.82;438.48
Pestana;1384;850.4;2.95;3.97;1.01;129.74;80.17;495.23
Cipava;1075;873.72;3.02;4.01;1.01;134.76;89.08;481.84
Km 18;1040;1172.84;2.7;4.2;1.02;164.21;83.82;527.92
I.A.P.I.;1013;736.18;3.07;3.66;1.0;129.47;88.69;475.98
Presidente Altino;965;753.27;2.95;3.6;1.02;97.6;58.85;457.49
Industrial Anhangüera;923;477.77;3.33;3.36;1.0;46.89;28.71;485.23
Jardim das Flores;883;995.86;2.81;4.05;1.01;139.4;83.93;505.36
Centro;841;1034.78;3.17;3.96;1.0;102.31;208.98;512.26
Bela Vista;828;983.58;2.85;4.0;1.0;143.67;121.98;516.83
Quitaúna;807;982.25;2.85;4.21;1.03;138.73;81.06;546.04
Vila Osasco;685;1257.92;2.86;4.2;1.01;135.84;79.98;539.04
Remédios;663;870.73;3.0;3.74;1.01;142.59;83.67;494.01
Setor Militar;637;671.43;3.48;4.68;1.04;144.26;45.46;532.98
Umuarama;560;1459.6;2.75;4.45;1.0;133.9;79.16;591.06
Vila Yara;528;1595.04;2.73;4.36;1.0;152.65;89.01;624.56
Três Montanhas;481;625.47;3.27;3.69;1.03;60.19;33.08;514.44
Santa Fé;451;509.9;3.23;3.39;1.0;57.74;32.86;517.55
Jardim Bonança;448;551.98;3.3;3.52;1.0;89.67;54.56;502.84
Cidade das Flores;392;1100.97;2.96;4.56;1.0;147.36;78.01;704.4
Metalúrgicos;383;1020.12;3.07;4.41;1.01;139.39;84.74;544.49
Industrial Remédios;228;1172.81;2.69;4.77;1.01;144.55;48.43;596.42
Bonfim;210;569.16;2.83;3.24;0.99;97.72;58.68;397.9
Continental;182;1749.1;2.73;5.09;1.0;146.39;59.89;691.26
City Bussocaba;160;875.56;3.32;4.24;1.0;133.39;73.56;549.46
Jardim Nogueira;154;579.72;3.35;3.67;1.0;170.88;62.42;453.9
Vila Campesina;120;1359.72;2.6;4.47;1.03;139.24;73.56;541.51
Adalgisa;99;987.6;3.08;3.96;1.0;99.44;58.07;518.81
Parque Industrial Mazzei;94;403.47;2.89;2.71;1.01;0.0;0.0;337.66
Jardim Paulista;62;500.18;3.93;3.69;1.0;71.18;61.86;397.88
Raposo Tavares;20;462.6;2.9;2.94;0.94;65.51;35.22;467.78
Castelo Branco;7;1333.26;3.11;4.68;1.0;105.05;45.68;355.26
Jardim Platina;3;610.09;3.64;3.27;1.0;0.0;22.73;736.36
Área Rural de Osasco;3;88.89;3.33;3.44;1.0;0.0;60.0;377.78
