tipo_unidade;nome_unidade;latitude;longitude;cpf_aluno
CEMEIEF;JOSE SARAMAGO;-23.557824166757303;-46.80001089672111;31291
EMEIEF;MANOEL BARBOSA DE SOUZA, PROF.;-23.4894696046566;-46.79019776053418;23839
EMEF;JOSIAS BAPTISTA, PASTOR;-23.498677255184845;-46.79049855582296;19893
EMEIEF;RENATO FIUZA TELES, PROF. ;-23.5795935;-46.8025739;19858
EMEF;JOAO LARIZZATTI, PROF.;-23.531468;-46.800144;19092
EMEF;TEREZINHA MARTINS PEREIRA, PROF.;-23.51531506576164;-46.77985165272143;19085
CEMEIEF;ZILDA ARNS NEUMANN, DRA.;-23.501833;-46.799792;18255
EMEIEF;MARINA VON PUTTKAMMER MELLI, PROF.;-23.550949;-46.816585;18063
CEMEIEF;MARIA TARCILLA FORNASARO MELLI;-23.562079;-46.789166;17411
EMEIEF;ETIENE SALES CAMPELO, PROF.;-23.555302;-46.798615;17205
EMEIEF;LUIZ BORTOLOSSO;-23.515101528964443;-46.78387137846201;16511
EMEIEF;FRANCISCO MANUEL LUMBRALES DE SA CARNEIRO, DR.;-23.493038;-46.792191;16374
EMEIEF;ELIO APARECIDO DA SILVA;-23.497394;-46.767884;16213
EMEF;TOBIAS BARRETO DE MENEZES;-23.515415;-46.767866;15790
EMEIEF;ELZA DE CARVALHO MELLO BATTISTON, PROF.;-23.539576;-46.805012;14825
EMEF;JOSE MANOEL AYRES, DR.;-23.5662705;-46.8095013;14760
EMEIEF;VALTER DE OLIVEIRA FERREIRA, PROF.;-23.498835616419072;-46.8001984152859;14674
EMEF;BENEDICTO WESCHENFELDER;-23.513522;-46.790193;14538
EMEF;ALICE RABECHINI FERREIRA ;-23.569037;-46.805862;14273
EMEIEF;TECLA MERLO, IRMA;-23.50829739519304;-46.769189618729406;14218
EMEIEF;ZULEIKA GONCALVES MENDES ;-23.577032;-46.814834;13819
CEMEIEF;DARCY RIBEIRO, PROF.;-23.518936;-46.758084;13489
CEMEIEF;MARINA SADDI HAIDAR;-23.507586;-46.785828;13462
