cod_familiar_fam;n_pessoas_fam;qtd_pessoas_domic_fam
387258;3;2.0
17986427;5;3.0
20583591;5;2.0
24902500;3;2.0
29681936;4;1.0
32078544;4;2.0
37884239;2;3.0
39375005;7;4.0
41272935;4;3.0
41275608;5;2.0
48196592;4;3.0
56691890;4;3.0
62264265;2;2.0
63883961;4;6.0
66173876;2;1.0
66180147;6;5.0
66212014;7;3.0
72185244;5;4.0
74188925;3;2.0
78193907;4;4.0
585182159;15;5.0
585182400;7;5.0
585183392;9;3.0
585183988;8;3.0
585184364;4;1.0
585186146;10;2.0
585187894;2;1.0
585187975;8;2.0
585188351;5;2.0
585191069;6;2.0
585191220;6;2.0
585191735;12;8.0
585192464;3;1.0
585192707;9;2.0
585193193;9;5.0
585198748;6;1.0
585199710;6;3.0
97393002;5;3.0
106336428;3;2.0
110163532;6;3.0
120028875;7;5.0
128876336;6;4.0
139806709;4;4.0
153373245;6;3.0
161152520;5;4.0
161187153;8;3.0
161724507;7;7.0
184824656;6;6.0
192478265;2;2.0
198680902;6;2.0
210565799;1;1.0
211109215;6;1.0
216527830;3;2.0
216606543;3;3.0
229700101;4;2.0
258074639;7;4.0
300083874;5;8.0
308250320;4;2.0
317471244;9;4.0
319267547;8;3.0
323412378;12;4.0
325613699;6;4.0
349674868;4;2.0
372404391;2;1.0
382536584;3;2.0
401198820;6;2.0
406062102;3;3.0
410538426;9;2.0
414784952;6;2.0
416454054;8;5.0
416511899;5;3.0
433526858;5;1.0
442993625;4;4.0
452173000;4;5.0
477624707;5;2.0
481733981;4;4.0
488312396;7;2.0
488314410;6;4.0
488315492;8;3.0
488315816;10;4.0
488316707;3;3.0
488318670;3;3.0
488320305;7;2.0
488320496;9;2.0
488320739;6;1.0
488490570;6;1.0
488490901;7;2.0
488491118;2;2.0
488491207;8;2.0
488491703;4;5.0
488493919;7;4.0
510954839;2;1.0
514468394;8;4.0
514843071;5;3.0
515158739;5;2.0
525321780;5;4.0
528149040;4;2.0
560272065;4;3.0
582901847;5;1.0
585174300;18;2.0
585175020;4;1.0
585176426;10;4.0
585177902;9;1.0
585179441;8;2.0
585203172;7;3.0
585206007;11;2.0
585207917;8;6.0
585208301;5;2.0
585211191;6;3.0
585211604;7;4.0
585214450;13;8.0
585214964;8;5.0
585212830;4;2.0
585213135;10;5.0
585213801;8;2.0
585223793;6;1.0
585224412;6;3.0
585224501;8;5.0
585224765;7;3.0
585227195;4;3.0
585228167;6;3.0
585215260;6;2.0
585215693;6;4.0
585217122;7;6.0
585217203;8;1.0
585219095;4;1.0
585219257;8;1.0
585222479;10;1.0
585232946;14;5.0
585234809;5;1.0
585235376;3;1.0
585235619;6;2.0
585245096;7;1.0
585248192;7;5.0
585248354;5;1.0
585249830;5;1.0
585232431;2;2.0
585238715;6;3.0
585242070;10;2.0
585251061;5;3.0
585251304;6;1.0
585252386;7;1.0
585256705;7;2.0
585257930;11;3.0
585260567;8;1.0
585260729;6;2.0
585262004;9;2.0
585262187;10;6.0
585265011;3;2.0
585267308;5;1.0
585267650;12;9.0
585269785;5;2.0
585271682;10;6.0
585271763;5;5.0
585272905;4;2.0
585273111;7;4.0
585273464;6;4.0
585274002;2;2.0
585276218;10;2.0
