mes_referencia;nome_municipio;total_repasses;n_favorecidos;media_repasses
2023-03-01;Osasco (SP);58937390.0;44918;655.8363563527919
2023-03-01;Ribeirão Preto (SP);29571346.0;22507;655.9457433121867
2023-03-01;Santo André (SP);50988032.0;39400;646.3672227574666
2023-03-01;Sorocaba (SP);41302446.0;31303;659.2358743535721
2023-03-01;São Bernardo do Campo (SP);54233512.0;42124;643.4157314034879
2023-03-01;São José dos Campos (SP);58925434.0;45428;648.2160741001496
2023-04-01;Osasco (SP);57105960.0;43614;654.6596354465207
2023-04-01;Ribeirão Preto (SP);29165984.0;22254;655.2681195237026
2023-04-01;Santo André (SP);49711954.0;38561;644.5550657365869
2023-04-01;Sorocaba (SP);40295110.0;30597;658.4598666579515
2023-04-01;São Bernardo do Campo (SP);53097418.0;41411;641.071861492768
2023-04-01;São José dos Campos (SP);58036852.0;44785;647.9496706486547
2023-05-01;Osasco (SP);59040512.0;45017;655.743391532276
2023-05-01;Ribeirão Preto (SP);29396840.0;22385;656.5605038638496
2023-05-01;Santo André (SP);49988534.0;38722;645.4464156595393
2023-05-01;Sorocaba (SP);40446732.0;30690;658.9562072336266
2023-05-01;São Bernardo do Campo (SP);53625746.0;41599;644.5402163461539
2023-05-01;São José dos Campos (SP);58330454.0;44957;648.7360589007274
2023-06-01;Osasco (SP);63061286.0;45515;692.7071268509161
2023-06-01;Ribeirão Preto (SP);31417544.0;22657;693.2991437902728
2023-06-01;Santo André (SP);52775912.0;39111;674.6939735624248
2023-06-01;Sorocaba (SP);42960046.0;31134;689.9217254448513
2023-06-01;São Bernardo do Campo (SP);56959012.0;42164;675.4460203016791
2023-06-01;São José dos Campos (SP);60933494.0;45253;673.2090109598727
2023-07-01;Osasco (SP);57988502.0;44035;658.3916390390118
2023-07-01;Ribeirão Preto (SP);29020786.0;22224;652.88607424072
2023-07-01;Santo André (SP);49288432.0;38121;646.439577158146
2023-07-01;Sorocaba (SP);40267956.0;30562;658.7481350608559
2023-07-01;São Bernardo do Campo (SP);52414576.0;41055;638.299186516635
2023-07-01;São José dos Campos (SP);57173760.0;44374;644.2258980484067
2023-08-01;Osasco (SP);62355780.0;46753;666.84968131069
2023-08-01;Ribeirão Preto (SP);32247746.0;24308;663.2882060142334
2023-08-01;Santo André (SP);48808834.0;37615;648.794815897913
2023-08-01;Sorocaba (SP);40087244.0;30284;661.8114640427921
2023-08-01;São Bernardo do Campo (SP);55248374.0;42862;644.4762849077292
2023-08-01;São José dos Campos (SP);56901662.0;44047;645.9198356301224
2023-09-01;Osasco (SP);63611678.0;47449;669.1317400542781
2023-09-01;Ribeirão Preto (SP);33699536.0;25152;664.8162556717301
2023-09-01;Santo André (SP);51611034.0;39331;650.7998839907193
2023-09-01;Sorocaba (SP);45985532.0;34172;669.2308990889775
2023-09-01;São Bernardo do Campo (SP);57194982.0;44099;647.6174419131302
2023-09-01;São José dos Campos (SP);56870872.0;43889;643.5686221256564
2023-10-01;Osasco (SP);63569366.0;47161;673.7897314141564
2023-10-01;Ribeirão Preto (SP);34165674.0;25463;670.1517006002118
2023-10-01;Santo André (SP);50769322.0;38589;657.1570104587346
2023-10-01;Sorocaba (SP);45717812.0;33973;672.538350642855
