ano;municipio_codigo;municipio;pib_deflacionado_osasco;ipca_normalizado;pib_deflacionado_sp;participacao_pib_sp
2002;3534401;Osasco (SP);37264550.92071549;0.3332630527715898;1556964718.0650015;0.02393410106751034
2003;3534401;Osasco (SP);38830229.116946734;0.36425651667934766;1623729445.9186096;0.02391422365009763
2004;3534401;Osasco (SP);41416138.96311245;0.3919400119469781;1665957896.8639014;0.02486025549689861
2005;3534401;Osasco (SP);47095116.67513881;0.4142413986267611;1793743808.473124;0.026255207935868642
2006;3534401;Osasco (SP);49075407.27571614;0.42724857854364146;1929858495.5169797;0.025429536616139094
2007;3534401;Osasco (SP);54732990.02680906;0.44630386514668785;2096448749.5363197;0.0261074782004161
2008;3534401;Osasco (SP);68606767.55165097;0.4726357931903424;2205736812.61621;0.031103786797789777
2009;3534401;Osasco (SP);75031095.55852573;0.4930063958768461;2286164713.939229;0.03281963679215469
2010;3534401;Osasco (SP);83310087.17079413;0.5221430738731677;2479580890.341353;0.03359845508380459
2011;3534401;Osasco (SP);85625001.3560665;0.5560823736749235;2583560956.096506;0.03314224158482292
2012;3534401;Osasco (SP);85054494.81166309;0.5885575842975391;2648905537.188434;0.03210929707291129
2013;3534401;Osasco (SP);87168685.4835397;0.6233413375295236;2751684051.3064165;0.0316783045793919
2014;3534401;Osasco (SP);91715283.73998153;0.6632975172651661;2801451847.221599;0.03273848302298758
2015;3534401;Osasco (SP);89790977.25366972;0.7340713623573594;2642661199.5464554;0.03397748348107583
2016;3534401;Osasco (SP);96999690.15887971;0.7802444510496372;2612972612.9513984;0.03712235240357795
2017;3534401;Osasco (SP);97013273.07402594;0.8032616623556016;2640187792.3325377;0.0367448381345318
2018;3534401;Osasco (SP);91924004.21202552;0.8333839746939367;2652513146.5502887;0.03465543774272214
2019;3534401;Osasco (SP);94223093.19415513;0.8693028240032452;2701403855.08656;0.034879306556381585
2020;3534401;Osasco (SP);84319246.4432;0.9085953116481919;2616829461.388;0.032221911166681834
2021;3534401;Osasco (SP);86111260.0;1.0;2719751231.0;0.03166144720094071
2002;3552205;Sorocaba (SP);19787287.98514493;0.3332630527715898;1556964718.0650015;0.012708886563426183
2003;3552205;Sorocaba (SP);20893320.09590234;0.36425651667934766;1623729445.9186096;0.012867488576018365
2004;3552205;Sorocaba (SP);23393694.75051294;0.3919400119469781;1665957896.8639014;0.014042188457793937
2005;3552205;Sorocaba (SP);26036767.53640438;0.4142413986267611;1793743808.473124;0.01451532120329239
2006;3552205;Sorocaba (SP);28640310.616621736;0.42724857854364146;1929858495.5169797;0.01484062727042038
2007;3552205;Sorocaba (SP);32644106.71238867;0.44630386514668785;2096448749.5363197;0.015571144641436477
2008;3552205;Sorocaba (SP);35735183.9267029;0.4726357931903424;2205736812.61621;0.016201018962147908
2009;3552205;Sorocaba (SP);33819502.42317952;0.4930063958768461;2286164713.939229;0.014793117143736352
2010;3552205;Sorocaba (SP);37770185.96399208;0.5221430738731677;2479580890.341353;0.015232487922098975
2011;3552205;Sorocaba (SP);41333854.637580484;0.5560823736749235;2583560956.096506;0.015998792109024464
2012;3552205;Sorocaba (SP);44124295.893656;0.5885575842975391;2648905537.188434;0.016657557347435584
2013;3552205;Sorocaba (SP);47092875.496340156;0.6233413375295236;2751684051.3064165;0.017114201564667964
2014;3552205;Sorocaba (SP);44596230.545175694;0.6632975172651661;2801451847.221599;0.01591897093980215
2015;3552205;Sorocaba (SP);41935338.41334354;0.7340713623573594;2642661199.5464554;0.015868601855031837
2016;3552205;Sorocaba (SP);39129104.93490679;0.7802444510496372;2612972612.9513984;0.014974938788474243
2017;3552205;Sorocaba (SP);39980944.57268236;0.8032616623556016;2640187792.3325377;0.01514321999699886
2018;3552205;Sorocaba (SP);42007960.39167552;0.8333839746939367;2652513146.5502887;0.015837041353144184
2019;3552205;Sorocaba (SP);42876754.76349408;0.8693028240032452;2701403855.08656;0.01587202693990388
2020;3552205;Sorocaba (SP);40308651.751200005;0.9085953116481919;2616829461.388;0.015403621957779312
2021;3552205;Sorocaba (SP);44533398.0;1.0;2719751231.0;0.01637407035334843
2002;3543402;Ribeirão Preto (SP);20833854.645023208;0.3332630527715898;1556964718.0650015;0.013381070491382463
2003;3543402;Ribeirão Preto (SP);21763360.810311794;0.36425651667934766;1623729445.9186096;0.013403317199805647
2004;3543402;Ribeirão Preto (SP);21564361.234809022;0.3919400119469781;1665957896.8639014;0.012944121382300876
2005;3543402;Ribeirão Preto (SP);23603292.747690015;0.4142413986267611;1793743808.473124;0.013158675523335564
2006;3543402;Ribeirão Preto (SP);25827081.830473237;0.42724857854364146;1929858495.5169797;0.013382888895983306
2007;3543402;Ribeirão Preto (SP);29006109.98684754;0.44630386514668785;2096448749.5363197;0.013835830708126273
2008;3543402;Ribeirão Preto (SP);30108235.99275971;0.4726357931903424;2205736812.61621;0.013649967584776592
2009;3543402;Ribeirão Preto (SP);31368556.532607663;0.4930063958768461;2286164713.939229;0.013721039582733015
2010;3543402;Ribeirão Preto (SP);35011177.80687166;0.5221430738731677;2479580890.341353;0.014119796592742666
2011;3543402;Ribeirão Preto (SP);36195714.794884644;0.5560823736749235;2583560956.096506;0.014010009986206261
2012;3543402;Ribeirão Preto (SP);37132065.88966791;0.5885575842975391;2648905537.188434;0.014017889791978062
2013;3543402;Ribeirão Preto (SP);39955606.18313777;0.6233413375295236;2751684051.3064165;0.014520419291658157
2014;3543402;Ribeirão Preto (SP);40382888.97935348;0.6632975172651661;2801451847.221599;0.014414985936454374
2015;3543402;Ribeirão Preto (SP);37782530.99389819;0.7340713623573594;2642661199.5464554;0.014297152809593067
2016;3543402;Ribeirão Preto (SP);38495040.82931211;0.7802444510496372;2612972612.9513984;0.014732278722902987
2017;3543402;Ribeirão Preto (SP);40671898.74865086;0.8032616623556016;2640187792.3325377;0.015404926447568445
2018;3543402;Ribeirão Preto (SP);41186077.53719472;0.8333839746939367;2652513146.5502887;0.01552719072882223
2019;3543402;Ribeirão Preto (SP);40773519.90733632;0.8693028240032452;2701403855.08656;0.015093455882415565
2020;3543402;Ribeirão Preto (SP);38705844.6694;0.9085953116481919;2616829461.388;0.014791122325896591
2021;3543402;Ribeirão Preto (SP);39955572.0;1.0;2719751231.0;0.014690892146525147
2002;3548708;São Bernardo do Campo (SP);45940484.16910253;0.3332630527715898;1556964718.0650015;0.029506438801129315
2003;3548708;São Bernardo do Campo (SP);51929701.00422769;0.36425651667934766;1623729445.9186096;0.0319817449481856
2004;3548708;São Bernardo do Campo (SP);55877474.441070154;0.3919400119469781;1665957896.8639014;0.0335407482663621
2005;3548708;São Bernardo do Campo (SP);58501229.18746451;0.4142413986267611;1793743808.473124;0.03261403825402587
2006;3548708;São Bernardo do Campo (SP);59352995.59436627;0.42724857854364146;1929858495.5169797;0.030755102372656863
