nivel_territorial_codigo;nivel_territorial;unidade_de_medida_codigo;unidade_de_medida;pib_corrente;municipio_codigo;municipio;ano_codigo;ano;variavel_codigo;variavel;ipca_normalizado;pib_deflacionado;populacao;pib_per_capita
6;Município;40;Mil Reais;12418898.0;3534401;Osasco (SP);2002;2002;37;Produto Interno Bruto a preços correntes;0.3332630527715898;37264550.92071549;670345;55590.10796040172
6;Município;40;Mil Reais;14144164.0;3534401;Osasco (SP);2003;2003;37;Produto Interno Bruto a preços correntes;0.36425651667934766;38830229.116946734;678583;57222.519746216356
6;Município;40;Mil Reais;16232642.0;3534401;Osasco (SP);2004;2004;37;Produto Interno Bruto a preços correntes;0.3919400119469781;41416138.96311245;695879;59516.29372795048
6;Município;40;Mil Reais;19508747.0;3534401;Osasco (SP);2005;2005;37;Produto Interno Bruto a preços correntes;0.4142413986267611;47095116.67513881;705450;66758.9718266905
6;Município;40;Mil Reais;20967398.0;3534401;Osasco (SP);2006;2006;37;Produto Interno Bruto a preços correntes;0.42724857854364146;49075407.27571614;714950;68641.73337396482
6;Município;40;Mil Reais;24427545.0;3534401;Osasco (SP);2007;2007;37;Produto Interno Bruto a preços correntes;0.44630386514668785;54732990.02680906;701012;78077.10856134996
6;Município;40;Mil Reais;32426014.0;3534401;Osasco (SP);2008;2008;37;Produto Interno Bruto a preços correntes;0.4726357931903424;68606767.55165097;713066;96213.76920460514
6;Município;40;Mil Reais;36990810.0;3534401;Osasco (SP);2009;2009;37;Produto Interno Bruto a preços correntes;0.4930063958768461;75031095.55852573;718646;104406.19659543881
6;Município;40;Mil Reais;43499785.0;3534401;Osasco (SP);2010;2010;37;Produto Interno Bruto a preços correntes;0.5221430738731677;83310087.17079413;666740;124951.38610371978
6;Município;40;Mil Reais;47614554.0;3534401;Osasco (SP);2011;2011;37;Produto Interno Bruto a preços correntes;0.5560823736749235;85625001.3560665;667826;128214.53695433616
6;Município;40;Mil Reais;50059468.0;3534401;Osasco (SP);2012;2012;37;Produto Interno Bruto a preços correntes;0.5885575842975391;85054494.81166309;668877;127160.14276416006
6;Município;40;Mil Reais;54335845.0;3534401;Osasco (SP);2013;2013;37;Produto Interno Bruto a preços correntes;0.6233413375295236;87168685.4835397;691652;126029.68759367385
6;Município;40;Mil Reais;60834520.0;3534401;Osasco (SP);2014;2014;37;Produto Interno Bruto a preços correntes;0.6632975172651661;91715283.73998153;693271;132293.5529395886
6;Município;40;Mil Reais;65912985.0;3534401;Osasco (SP);2015;2015;37;Produto Interno Bruto a preços correntes;0.7340713623573594;89790977.25366972;694844;129224.65654689359
6;Município;40;Mil Reais;75683470.0;3534401;Osasco (SP);2016;2016;37;Produto Interno Bruto a preços correntes;0.7802444510496372;96999690.15887971;696382;139290.92101587882
6;Município;40;Mil Reais;77927043.0;3534401;Osasco (SP);2017;2017;37;Produto Interno Bruto a preços correntes;0.8032616623556016;97013273.07402594;697886;139010.2009125071
6;Município;40;Mil Reais;76607992.0;3534401;Osasco (SP);2018;2018;37;Produto Interno Bruto a preços correntes;0.8333839746939367;91924004.21202552;696850;131913.61729500684
