cod_familiar_fam;qtd_comodos_domic_fam
387258;3.0
17986427;3.0
20583591;3.0
24902500;3.0
29681936;3.0
32078544;4.0
37884239;5.0
39375005;4.0
41272935;3.0
41275608;3.0
48196592;3.0
56691890;3.0
62264265;3.0
63883961;3.0
66173876;2.0
66180147;4.0
66212014;2.0
72185244;2.0
74188925;3.0
78193907;3.0
585182159;6.0
585182400;5.0
585183392;3.0
585183988;3.0
585184364;4.0
585186146;4.0
585187894;2.0
585187975;4.0
585188351;2.0
585191069;2.0
585191220;3.0
585191735;6.0
585192464;3.0
585192707;1.0
585193193;5.0
585198748;3.0
585199710;2.0
97393002;3.0
106336428;3.0
110163532;3.0
120028875;3.0
128876336;3.0
139806709;4.0
153373245;4.0
161152520;5.0
161187153;3.0
161724507;4.0
184824656;4.0
192478265;5.0
198680902;2.0
210565799;2.0
211109215;3.0
216527830;5.0
216606543;3.0
229700101;4.0
258074639;6.0
300083874;4.0
308250320;2.0
317471244;3.0
319267547;5.0
323412378;2.0
325613699;6.0
349674868;3.0
372404391;3.0
382536584;3.0
401198820;2.0
406062102;5.0
410538426;3.0
414784952;2.0
416454054;4.0
416511899;3.0
433526858;4.0
442993625;5.0
452173000;2.0
477624707;3.0
481733981;4.0
488312396;5.0
488314410;4.0
488315492;5.0
488315816;3.0
488316707;4.0
488318670;4.0
488320305;3.0
488320496;4.0
488320739;2.0
488490570;3.0
488490901;6.0
488491118;3.0
488491207;4.0
488491703;5.0
488493919;5.0
510954839;2.0
514468394;4.0
514843071;4.0
515158739;2.0
525321780;4.0
528149040;3.0
560272065;4.0
582901847;3.0
585174300;4.0
585175020;3.0
585176426;6.0
585177902;4.0
585179441;3.0
585203172;5.0
585206007;5.0
585207917;4.0
585208301;3.0
585211191;5.0
585211604;3.0
585214450;3.0
585214964;3.0
585212830;2.0
585213135;3.0
585213801;2.0
585223793;4.0
585224412;4.0
585224501;2.0
585224765;3.0
585227195;3.0
585228167;3.0
585215260;2.0
585215693;5.0
585217122;4.0
585217203;5.0
585219095;3.0
585219257;3.0
585222479;4.0
585232946;5.0
585234809;2.0
585235376;3.0
585235619;4.0
585245096;4.0
585248192;5.0
585248354;6.0
585249830;4.0
585232431;4.0
585238715;4.0
585242070;5.0
585251061;4.0
585251304;5.0
585252386;6.0
585256705;4.0
585257930;4.0
585260567;5.0
585260729;2.0
585262004;4.0
585262187;2.0
585265011;4.0
585267308;3.0
585267650;4.0
585269785;3.0
585271682;3.0
585271763;3.0
585272905;3.0
585273111;3.0
585273464;3.0
585274002;3.0
585276218;4.0
585277028;3.0
585280088;5.0
585283265;3.0
585283850;5.0
665389043;3.0
665390483;4.0
665390645;6.0
665390998;3.0
665393156;3.0
585285551;3.0
585286442;4.0
585288062;5.0
585293570;2.0
815816456;4.0
821610201;4.0
978584635;4.0
978587065;3.0
1010647997;3.0
1096361710;4.0
1096364140;2.0
1096364573;5.0
585298459;3.0
585300372;4.0
585303983;2.0
585305099;4.0
585307709;3.0
585308780;5.0
585312460;5.0
585315809;3.0
585317690;5.0
585318743;4.0
585323151;3.0
585323232;3.0
1096436825;4.0
1096438283;4.0
1096438526;5.0
1096439417;4.0
1096440180;5.0
1096441667;3.0
1096441900;3.0
1096443368;3.0
1096447355;5.0
1096449560;4.0
1096450739;4.0
1096451387;3.0
1096452006;8.0
1096456001;3.0
585325600;2.0
585326681;4.0
1096457580;5.0
1096458632;6.0
1096458713;4.0
1096458985;5.0
1096459280;4.0
1096460530;4.0
1096460700;5.0
1096461420;6.0
1096462664;5.0
1096467119;3.0
585339155;4.0
585341052;3.0
585344400;4.0
585345120;4.0
585345635;4.0
585350710;4.0
585353492;4.0
585354898;4.0
585356599;3.0
585356750;3.0
585357137;3.0
585357218;3.0
589537954;4.0
589539060;3.0
589541390;3.0
594469864;2.0
595906532;3.0
602146780;4.0
603263798;3.0
619974044;3.0
620534265;3.0
622520547;5.0
665378785;4.0
665379595;5.0
665382111;5.0
665382545;3.0
665382707;4.0
665384246;5.0
665384408;3.0
665384912;3.0
665385307;2.0
665385560;5.0
665395604;5.0
665397496;5.0
665398620;4.0
665399600;4.0
665400209;4.0
665400896;4.0
665402325;5.0
665404450;3.0
665404611;2.0
665406401;3.0
665406908;3.0
665407718;5.0
665408285;3.0
665408790;3.0
665410000;5.0
665410182;3.0
665410344;3.0
665410697;3.0
665410778;2.0
692613692;5.0
695561057;4.0
710520115;4.0
712112685;2.0
729684008;4.0
735844100;2.0
743862805;3.0
744127440;4.0
745467083;5.0
774507365;4.0
1096366436;4.0
1096367912;6.0
1096368560;3.0
1096370468;6.0
1096374021;4.0
1096374102;3.0
1096374374;5.0
1096376741;3.0
1096380269;3.0
1096380854;
1096381583;5.0
1096382121;2.0
1096382474;5.0
1096382555;4.0
1096382806;2.0
1096388758;3.0
1096389487;4.0
1096389568;4.0
1096392194;4.0
1096394723;4.0
1096399288;2.0
1096400472;3.0
1096400553;5.0
1096405199;5.0
1096405431;5.0
1096408880;4.0
1096409771;3.0
1096414937;8.0
1096415313;5.0
1096416980;5.0
1096418410;4.0
1096422956;5.0
1096423170;3.0
1096424223;6.0
1096425467;3.0
1096425548;5.0
1096428210;5.0
1096428300;3.0
1096467895;3.0
1096473437;4.0
1096477505;4.0
1096477777;4.0
1096479710;4.0
1096481618;2.0
1096486504;4.0
1096489430;5.0
1096492490;3.0
1096493039;2.0
1096493110;3.0
1096493381;4.0
1096495678;3.0
1096500264;3.0
1096500850;4.0
1096501821;3.0
1096502550;5.0
1096503107;4.0
1096504928;3.0
1096505908;3.0
1096507277;2.0
1096507358;2.0
1096509644;3.0
1096510499;2.0
1096512270;5.0
1096513595;3.0
1096513838;5.0
1096514648;4.0
1096515105;3.0
1096515881;3.0
1096516853;3.0
1096517230;4.0
1096518716;4.0
1096522071;3.0
1096522152;4.0
1096522233;5.0
1096522748;3.0
1096524791;2.0
1096526301;4.0
1096526735;2.0
1096528193;3.0
1096528517;5.0
1096528606;5.0
1096532549;4.0
1096534320;3.0
1096536102;2.0
1096538903;4.0
1096529912;4.0
1096541297;6.0
1096579006;2.0
1096580004;3.0
1096544040;3.0
1096545799;3.0
1096548623;5.0
1096549433;4.0
1096549948;3.0
1096555247;2.0
1096556642;5.0
1096558262;3.0
1096562707;3.0
1096564742;6.0
1096564904;5.0
1096567768;4.0
1096569116;5.0
1096572338;4.0
1096573571;3.0
1096575434;3.0
1096577488;4.0
1096578107;5.0
1096589494;5.0
1096590662;3.0
1096591634;5.0
1096592100;2.0
1096593092;5.0
1096597322;5.0
1096607735;2.0
1096612143;3.0
1096614197;3.0
1096615916;4.0
1096618265;5.0
1096618699;2.0
1096618770;5.0
1096622025;3.0
1096624583;3.0
1096624826;5.0
1096650746;2.0
1096652366;2.0
1096655462;2.0
1096656191;2.0
1096657597;4.0
1096659611;5.0
1096663643;2.0
1096663724;3.0
1187741744;2.0
1187742716;5.0
1187743950;4.0
1187744417;5.0
1187746975;3.0
1187747513;4.0
1187748323;5.0
1187749052;3.0
1187801828;6.0
1187804843;4.0
1187804924;3.0
1187805220;5.0
1187807192;3.0
1187807354;3.0
1187808407;4.0
1187811971;4.0
1187812277;5.0
1187813087;2.0
1187813672;3.0
1187821268;3.0
1187822582;3.0
1187823120;5.0
1271100037;4.0
1271100380;3.0
1271100894;4.0
1271100975;3.0
1271101009;4.0
1271102161;4.0
1271102676;4.0
1271105420;4.0
1271105500;6.0
1271106230;4.0
1285598709;4.0
1287581552;9.0
1287582796;4.0
1287583504;5.0
1287583687;4.0
1287583768;6.0
1287585701;4.0
1096625393;5.0
1096625989;5.0
1096627256;6.0
1096631440;4.0
1096632683;3.0
1096633140;5.0
1096634112;5.0
1096634201;4.0
1096636247;5.0
1096637804;3.0
1096639262;5.0
1096641089;3.0
1096643618;3.0
1096644851;3.0
1096644932;6.0
1096667126;3.0
1288860722;7.0
1288860994;4.0
1288861370;4.0
1288861702;2.0
1288861966;5.0
1288863233;3.0
1290402159;3.0
1290402230;3.0
1294344269;3.0
1298075750;5.0
1298076307;7.0
1298076722;3.0
1298077370;5.0
1298077532;3.0
1298077613;3.0
1096669170;4.0
1096669927;4.0
1096671158;3.0
1096675498;2.0
1096675650;3.0
1340579456;4.0
1340581434;3.0
1340581787;5.0
1340582406;3.0
1340582759;2.0
1096679990;5.0
1096680068;3.0
1096682516;5.0
1096685965;2.0
1096687151;1.0
1096689448;5.0
1096694107;4.0
1096695502;7.0
1096695685;4.0
1096697467;5.0
1096699249;3.0
1096699915;2.0
1096700352;4.0
1096700867;4.0
1096701910;5.0
1096702053;3.0
1096702134;2.0
1096704692;5.0
1096705230;4.0
1096706474;5.0
1096711206;2.0
1110893795;3.0
1187738603;4.0
1187738794;4.0
1187739170;9.0
1187753670;4.0
1187754056;5.0
1187758124;3.0
1187759368;4.0
1187760455;3.0
1187764604;3.0
1187770680;4.0
1187773433;5.0
1406777633;3.0
1406778010;5.0
1406778362;5.0
1406778524;3.0
1406779504;5.0
1406779768;5.0
1406779920;4.0
1406780340;4.0
1406781150;3.0
1406781401;4.0
1406782718;5.0
1406784761;3.0
1406785148;5.0
1406785490;5.0
1406786110;3.0
1406786543;3.0
1406787000;3.0
1406787515;2.0
1406788830;3.0
1406789054;3.0
1406789305;5.0
1406789801;4.0
1406789992;5.0
1406790141;4.0
1406790222;4.0
1406790303;5.0
1406791970;2.0
1187777420;4.0
1187780642;4.0
1187782939;5.0
1187783900;3.0
1187789194;5.0
1187790796;3.0
1187792578;5.0
1187797294;4.0
1187801151;5.0
1407861042;3.0
1407861808;5.0
1407862367;4.0
1412361400;3.0
1412361753;2.0
1187830682;3.0
1187830925;5.0
1189508001;5.0
1196764000;4.0
1201458633;5.0
1203336357;4.0
1206804408;4.0
1208803859;2.0
1213055032;3.0
1216181101;4.0
1216181616;2.0
1216182698;4.0
1216185280;5.0
1217809619;3.0
1223830012;3.0
1236023862;5.0
1240864620;4.0
1240877790;3.0
1255788143;3.0
1260801004;4.0
1261893239;2.0
1262246504;5.0
1263927068;5.0
1264292198;4.0
1267847794;3.0
1267847875;2.0
1267848090;3.0
1270464370;3.0
1270466232;4.0
1270466909;3.0
1270467557;3.0
1270468952;5.0
1270470850;4.0
1270471317;4.0
1270471589;4.0
1270471821;4.0
1270472046;3.0
1270472801;3.0
1270473107;4.0
1270473441;5.0
1270473956;3.0
1270474332;3.0
1270475908;3.0
1270477609;4.0
1270478753;2.0
1270478834;4.0
1270482432;5.0
1271091100;3.0
1271092697;7.0
1271094550;4.0
1271094800;2.0
1271095017;2.0
1271095289;3.0
1271095360;2.0
1271095440;3.0
1271095602;4.0
1271097060;2.0
1271097737;3.0
1271097907;1.0
1271098032;4.0
1271098385;4.0
1287587160;3.0
1288859805;4.0
1288859988;5.0
1288860137;5.0
1298079900;5.0
1298080320;5.0
1298080673;3.0
1298081807;3.0
1298082021;6.0
1298083346;5.0
1300642467;4.0
1301570583;4.0
1305564758;5.0
1318316820;3.0
1322466351;2.0
1322501521;4.0
1329166221;3.0
1331660408;5.0
1331697409;3.0
1340298520;4.0
1340569906;4.0
