ano;descricao_secao_cnae;quantidade_vinculos_ativos
2006;Administração pública, defesa e seguridade social;13162
2006;Agricultura, pecuária, produção florestal, pesca e aquicultura;228
2006;Alojamento e alimentação;8575
2006;Artes, cultura, esporte e recreação;305
2006;Atividades administrativas e serviços complementares;7454
2006;Atividades financeiras, de seguros e serviços relacionados;12592
2006;Atividades imobiliárias;306
2006;Atividades profissionais, científicas e técnicas;1636
2006;"Comércio; reparação de veículos automotores e motocicletas";28625
2006;Construção;3008
2006;Educação;4540
2006;Eletricidade e gás;0
2006;Indústrias de transformação;22267
2006;Indústrias extrativas;95
2006;Informação e comunicação;3401
2006;Organismos internacionais e outras instituições extraterritoriais;9
2006;Outras atividades de serviços;2226
2006;Saúde e serviços sociais;53
2006;Saúde humana e serviços sociais;2669
2006;Serviços domésticos;10
2006;Transporte, armazenagem e correio;9543
2006;Água, esgoto, atividades de gestão de resíduos e descontaminação;556
2007;Administração pública, defesa e seguridade social;16769
2007;Agricultura, pecuária, produção florestal, pesca e aquicultura;17
2007;Alojamento e alimentação;8857
2007;Artes, cultura, esporte e recreação;218
2007;Atividades administrativas e serviços complementares;9347
2007;Atividades financeiras, de seguros e serviços relacionados;3072
2007;Atividades imobiliárias;329
2007;Atividades profissionais, científicas e técnicas;1139
2007;"Comércio; reparação de veículos automotores e motocicletas";33118
2007;Construção;3640
2007;Educação;4629
2007;Eletricidade e gás;2
2007;Indústrias de transformação;23031
2007;Indústrias extrativas;0
2007;Informação e comunicação;4394
2007;Intermediação financeira, seguros, previdência complementar e serviços relacionados;9814
2007;Outras atividades de serviços;2313
2007;Saúde humana e serviços sociais;2565
2007;Serviços domésticos;11
2007;Transporte, armazenagem e correio;9931
2007;Água, esgoto, atividades de gestão de resíduos e descontaminação;585
2008;Administração pública, defesa e seguridade social;16266
2008;Agricultura, pecuária, produção florestal, pesca e aquicultura;28
2008;Alojamento e alimentação;9804
2008;Artes, cultura, esporte e recreação;264
2008;Atividades administrativas e serviços complementares;13185
2008;Atividades financeiras, de seguros e serviços relacionados;12893
2008;Atividades imobiliárias;339
2008;Atividades profissionais, científicas e técnicas;1421
2008;"Comércio; reparação de veículos automotores e motocicletas";34079
2008;Construção;4384
2008;Educação;4656
2008;Eletricidade e gás;1
2008;Indústrias de transformação;24466
2008;Indústrias extrativas;0
2008;Informação e comunicação;5724
2008;Outras atividades de serviços;2521
2008;Saúde humana e serviços sociais;2947
2008;Serviços domésticos;8
2008;Transporte, armazenagem e correio;11042
2008;Água, esgoto, atividades de gestão de resíduos e descontaminação;695
2009;Administração pública, defesa e seguridade social;18775
2009;Agricultura, pecuária, produção florestal, pesca e aquicultura;12
2009;Alojamento e alimentação;9543
2009;Artes, cultura, esporte e recreação;290
2009;Atividades administrativas e serviços complementares;11893
2009;Atividades financeiras, de seguros e serviços relacionados;12730
2009;Atividades imobiliárias;439
2009;Atividades profissionais, científicas e técnicas;1962
2009;"Comércio; reparação de veículos automotores e motocicletas";36876
2009;Construção;4990
2009;Educação;4944
2009;Eletricidade e gás;0
2009;Indústrias de transformação;22500
2009;Indústrias extrativas;0
2009;Informação e comunicação;6602
2009;Organismos internacionais e outras instituições extraterritoriais;175
2009;Outras atividades de serviços;2584
2009;Saúde humana e serviços sociais;3591
2009;Serviços domésticos;24
2009;Transporte, armazenagem e correio;10891
2009;Água, esgoto, atividades de gestão de resíduos e descontaminação;616
2010;Administração pública, defesa e seguridade social;20539
2010;Agricultura, pecuária, produção florestal, pesca e aquicultura;13
2010;Alojamento e alimentação;10744
2010;Artes, cultura, esporte e recreação;333
2010;Atividades administrativas e serviços complementares;14236
2010;Atividades financeiras, de seguros e serviços relacionados;13805
2010;Atividades imobiliárias;516
2010;Atividades profissionais, científicas e técnicas;2433
2010;"Comércio; reparação de veículos automotores e motocicletas";41011
2010;Construção;5790
2010;Educação;5054
2010;Eletricidade e gás;3
2010;Indústrias de transformação;24193
2010;Indústrias extrativas;0
2010;Informação e comunicação;7307
2010;Outras atividades de serviços;2667
2010;Saúde humana e serviços sociais;3821
2010;Serviços domésticos;16
2010;Transporte, armazenagem e correio;11819
2010;Água, esgoto, atividades de gestão de resíduos e descontaminação;673
2011;Administração pública, defesa e seguridade social;19739
2011;Agricultura, pecuária, produção florestal, pesca e aquicultura;14
2011;Alojamento e alimentação;10936
2011;Artes, cultura, esporte e recreação;376
2011;Atividades administrativas e serviços complementares;14719
2011;Atividades financeiras, de seguros e serviços relacionados;14341
2011;Atividades imobiliárias;532
2011;Atividades profissionais, científicas e técnicas;2648
2011;"Comércio; reparação de veículos automotores e motocicletas";43925
2011;Construção;6547
2011;Educação;5426
2011;Eletricidade e gás;0
2011;Indústrias de transformação;24463
