cod_familiar_fam;vlr_renda_per_capita_fam
387258;0.0
17986427;166.0
20583591;414.0
24902500;0.0
29681936;1633.0
32078544;69.0
37884239;70.0
39375005;223.0
41272935;83.0
41275608;8.0
48196592;1134.0
56691890;711.0
62264265;280.0
63883961;783.0
66173876;1412.0
66180147;499.0
66212014;366.0
72185244;146.0
74188925;0.0
78193907;574.0
585182159;0.0
585182400;983.0
585183392;1518.0
585183988;635.0
585184364;0.0
585186146;421.0
585187894;100.0
585187975;439.0
585188351;893.0
585191069;1170.0
585191220;0.0
585191735;7.0
585192464;0.0
585192707;957.0
585193193;509.0
585198748;0.0
585199710;0.0
97393002;985.0
106336428;66.0
110163532;549.0
120028875;0.0
128876336;150.0
139806709;662.0
153373245;1482.0
161152520;1261.0
161187153;530.0
161724507;450.0
184824656;1256.0
192478265;1107.0
198680902;1004.0
210565799;1518.0
211109215;0.0
216527830;83.0
216606543;2115.0
229700101;489.0
258074639;301.0
300083874;16.0
308250320;277.0
317471244;316.0
319267547;2893.0
323412378;1202.0
325613699;810.0
349674868;398.0
372404391;0.0
382536584;266.0
401198820;974.0
406062102;1146.0
410538426;0.0
414784952;20.0
416454054;27.0
416511899;218.0
433526858;75.0
442993625;16.0
452173000;711.0
477624707;63.0
481733981;244.0
488312396;16.0
488314410;348.0
488315492;38.0
488315816;0.0
488316707;1615.0
488318670;3322.0
488320305;75.0
488320496;66.0
488320739;0.0
488490570;1518.0
488490901;75.0
488491118;200.0
488491207;759.0
488491703;1781.0
488493919;1784.0
510954839;2153.0
514468394;100.0
514843071;780.0
515158739;867.0
525321780;10.0
528149040;200.0
560272065;2391.0
582901847;1412.0
585174300;140.0
585175020;0.0
585176426;0.0
585177902;2818.0
585179441;0.0
585203172;489.0
585206007;759.0
585207917;799.0
585208301;104.0
585211191;712.0
585211604;0.0
585214450;230.0
585214964;993.0
585212830;759.0
585213135;215.0
585213801;1518.0
585223793;1518.0
585224412;470.0
585224501;76.0
585224765;0.0
585227195;1128.0
585228167;700.0
585215260;449.0
585215693;0.0
585217122;0.0
585217203;1518.0
585219095;0.0
585219257;0.0
585222479;1518.0
585232946;440.0
585234809;1518.0
585235376;1518.0
585235619;0.0
585245096;0.0
585248192;506.0
585248354;50.0
585249830;1518.0
585232431;2233.0
585238715;608.0
585242070;1518.0
585251061;660.0
585251304;0.0
585252386;1412.0
585256705;0.0
585257930;0.0
585260567;1518.0
585260729;507.0
585262004;50.0
585262187;116.0
585265011;759.0
585267308;37.0
585267650;1687.0
585269785;506.0
585271682;143.0
585271763;0.0
585272905;621.0
585273111;848.0
585273464;415.0
585274002;1089.0
585276218;1409.0
585277028;64.0
585280088;662.0
585283265;818.0
585283850;1357.0
665389043;1320.0
665390483;1518.0
665390645;474.0
665390998;553.0
665393156;949.0
585285551;0.0
585286442;240.0
585288062;0.0
585293570;0.0
815816456;375.0
821610201;175.0
978584635;1000.0
978587065;0.0
1010647997;711.0
1096361710;164.0
1096364140;1518.0
1096364573;479.0
585298459;166.0
585300372;0.0
585303983;65.0
585305099;442.0
585307709;150.0
585308780;0.0
585312460;253.0
585315809;353.0
585317690;175.0
585318743;506.0
585323151;0.0
585323232;162.0
1096436825;16.0
1096438283;377.0
1096438526;100.0
1096439417;2548.0
1096440180;50.0
1096441667;706.0
1096441900;0.0
1096443368;75.0
1096447355;0.0
1096449560;568.0
1096450739;1668.0
1096451387;0.0
1096452006;1085.0
1096456001;158.0
585325600;488.0
585326681;162.0
1096457580;575.0
1096458632;67.0
1096458713;86.0
1096458985;918.0
1096459280;444.0
1096460530;752.0
1096460700;440.0
1096461420;375.0
1096462664;37.0
1096467119;1892.0
585339155;143.0
585341052;899.0
585344400;269.0
585345120;266.0
585345635;689.0
585350710;1797.0
585353492;50.0
585354898;202.0
585356599;1176.0
585356750;50.0
585357137;391.0
585357218;0.0
589537954;775.0
589539060;0.0
589541390;1518.0
594469864;1349.0
595906532;541.0
602146780;0.0
603263798;1369.0
619974044;0.0
620534265;200.0
622520547;0.0
665378785;1279.0
665379595;1970.0
665382111;1856.0
665382545;0.0
665382707;150.0
665384246;0.0
665384408;90.0
665384912;200.0
665385307;1110.0
665385560;325.0
665395604;2651.0
665397496;759.0
665398620;79.0
665399600;1518.0
665400209;237.0
665400896;928.0
665402325;1518.0
665404450;1518.0
665404611;210.0
665406401;945.0
665406908;33.0
665407718;535.0
665408285;0.0
665408790;759.0
665410000;678.0
665410182;0.0
665410344;253.0
665410697;200.0
665410778;182.0
692613692;831.0
695561057;0.0
710520115;1648.0
712112685;2111.0
729684008;0.0
735844100;0.0
743862805;208.0
744127440;0.0
745467083;0.0
774507365;759.0
1096366436;212.0
1096367912;1659.0
1096368560;1518.0
1096370468;458.0
1096374021;938.0
1096374102;1518.0
1096374374;231.0
1096376741;1518.0
1096380269;0.0
1096380854;1518.0
1096381583;303.0
1096382121;200.0
1096382474;1780.0
1096382555;0.0
1096382806;8.0
1096388758;20.0
1096389487;58.0
1096389568;695.0
1096392194;274.0
1096394723;1269.0
1096399288;0.0
1096400472;759.0
1096400553;759.0
1096405199;759.0
1096405431;75.0
1096408880;506.0
1096409771;434.0
1096414937;784.0
1096415313;1736.0
1096416980;288.0
1096418410;443.0
1096422956;1518.0
1096423170;1412.0
1096424223;1407.0
1096425467;1412.0
1096425548;1601.0
1096428210;494.0
1096428300;1518.0
1096467895;2999.0
1096473437;759.0
1096477505;1339.0
1096477777;1025.0
1096479710;0.0
1096481618;1135.0
1096486504;0.0
1096489430;1518.0
1096492490;200.0
1096493039;0.0
1096493110;1531.0
1096493381;0.0
1096495678;37.0
1096500264;0.0
1096500850;0.0
1096501821;0.0
1096502550;0.0
1096503107;1518.0
1096504928;0.0
1096505908;22.0
1096507277;0.0
1096507358;0.0
1096509644;1809.0
1096510499;1518.0
1096512270;0.0
1096513595;710.0
1096513838;373.0
1096514648;968.0
1096515105;577.0
1096515881;0.0
1096516853;13.0
1096517230;406.0
1096518716;11.0
1096522071;1518.0
1096522152;1709.0
1096522233;1019.0
1096522748;1699.0
1096524791;0.0
1096526301;349.0
1096526735;513.0
1096528193;706.0
1096528517;0.0
1096528606;75.0
1096532549;807.0
1096534320;0.0
1096536102;1643.0
1096538903;769.0
1096529912;66.0
1096541297;724.0
1096579006;724.0
1096580004;694.0
1096544040;294.0
1096545799;706.0
1096548623;183.0
1096549433;0.0
1096549948;1004.0
1096555247;0.0
1096556642;645.0
1096558262;759.0
1096562707;0.0
1096564742;506.0
1096564904;52.0
1096567768;706.0
1096569116;660.0
1096572338;420.0
1096573571;100.0
1096575434;0.0
1096577488;0.0
1096578107;453.0
1096589494;303.0
1096590662;1518.0
1096591634;963.0
1096592100;0.0
1096593092;1138.0
1096597322;898.0
1096607735;1518.0
1096612143;100.0
1096614197;2360.0
1096615916;163.0
1096618265;220.0
1096618699;1866.0
1096618770;3191.0
1096622025;1584.0
1096624583;1518.0
1096624826;759.0
1096650746;185.0
1096652366;100.0
1096655462;2015.0
1096656191;57.0
1096657597;1071.0
1096659611;16.0
1096663643;0.0
1096663724;0.0
1187741744;250.0
1187742716;759.0
1187743950;1518.0
1187744417;1078.0
1187746975;1518.0
1187747513;42.0
1187748323;1518.0
1187749052;133.0
1187801828;1518.0
1187804843;301.0
1187804924;50.0
1187805220;1187.0
1187807192;0.0
1187807354;100.0
1187808407;2221.0
1187811971;216.0
1187812277;1373.0
1187813087;108.0
1187813672;874.0
1187821268;50.0
1187822582;0.0
1187823120;4671.0
1271100037;812.0
1271100380;0.0
1271100894;0.0
1271100975;0.0
1271101009;145.0
1271102161;794.0
1271102676;116.0
1271105420;20.0
1271105500;561.0
1271106230;264.0
1285598709;1640.0
1287581552;29.0
1287582796;1320.0
1287583504;425.0
1287583687;1378.0
1287583768;360.0
1287585701;37.0
1096625393;974.0
1096625989;455.0
1096627256;662.0
1096631440;187.0
1096632683;425.0
1096633140;125.0
1096634112;12.0
1096634201;1020.0
1096636247;0.0
1096637804;0.0
1096639262;0.0
1096641089;1518.0
1096643618;0.0
1096644851;1412.0
1096644932;766.0
1096667126;100.0
1288860722;0.0
1288860994;1117.0
1288861370;379.0
1288861702;930.0
1288861966;1050.0
1288863233;819.0
1290402159;41.0
1290402230;58.0
1294344269;1518.0
1298075750;158.0
1298076307;914.0
1298076722;1412.0
1298077370;702.0
1298077532;530.0
1298077613;1193.0
1096669170;196.0
1096669927;1562.0
1096671158;558.0
1096675498;104.0
1096675650;366.0
1340579456;245.0
1340581434;1025.0
1340581787;12.0
1340582406;759.0
1340582759;0.0
1096679990;506.0
1096680068;25.0
1096682516;0.0
1096685965;1518.0
1096687151;6.0
1096689448;7.0
1096694107;900.0
1096695502;577.0
1096695685;470.0
1096697467;1355.0
1096699249;1518.0
1096699915;0.0
1096700352;100.0
1096700867;762.0
1096701910;27.0
1096702053;394.0
1096702134;0.0
1096704692;0.0
1096705230;1518.0
1096706474;1670.0
1096711206;216.0
1110893795;120.0
1187738603;0.0
1187738794;2276.0
1187739170;512.0
1187753670;1500.0
1187754056;817.0
1187758124;384.0
1187759368;506.0
1187760455;759.0
1187764604;759.0
1187770680;415.0
1187773433;980.0
1406777633;916.0
1406778010;957.0
1406778362;1324.0
1406778524;191.0
1406779504;413.0
1406779768;1107.0
1406779920;0.0
1406780340;5.0
1406781150;0.0
1406781401;180.0
1406782718;769.0
1406784761;481.0
1406785148;1576.0
1406785490;15.0
1406786110;683.0
1406786543;506.0
1406787000;23.0
1406787515;0.0
1406788830;116.0
1406789054;1456.0
1406789305;2177.0
1406789801;439.0
1406789992;83.0
1406790141;0.0
1406790222;20.0
1406790303;506.0
1406791970;976.0
1187777420;567.0
1187780642;83.0
1187782939;3429.0
1187783900;195.0
1187789194;1518.0
1187790796;0.0
1187792578;506.0
1187797294;1356.0
1187801151;2037.0
1407861042;0.0
1407861808;17.0
1407862367;83.0
1412361400;12.0
1412361753;440.0
1187830682;1518.0
1187830925;0.0
1189508001;759.0
1196764000;470.0
1201458633;487.0
1203336357;50.0
1206804408;236.0
1208803859;66.0
1213055032;0.0
1216181101;706.0
1216181616;0.0
1216182698;579.0
1216185280;100.0
1217809619;0.0
1223830012;50.0
1236023862;318.0
1240864620;150.0
1240877790;250.0
1255788143;1686.0
1260801004;194.0
1261893239;0.0
1262246504;1384.0
1263927068;147.0
1264292198;20.0
1267847794;200.0
1267847875;314.0
1267848090;253.0
1270464370;850.0
1270466232;138.0
1270466909;173.0
1270467557;257.0
1270468952;0.0
1270470850;0.0
1270471317;571.0
1270471589;278.0
1270471821;0.0
1270472046;1849.0
1270472801;313.0
1270473107;1420.0
1270473441;0.0
1270473956;0.0
1270474332;2296.0
1270475908;425.0
1270477609;795.0
1270478753;150.0
1270478834;547.0
1270482432;1159.0
1271091100;270.0
1271092697;1138.0
1271094550;412.0
1271094800;8.0
1271095017;321.0
1271095289;0.0
1271095360;42.0
1271095440;43.0
1271095602;22.0
1271097060;747.0
1271097737;0.0
1271097907;136.0
1271098032;1437.0
1271098385;202.0
1287587160;0.0
1288859805;817.0
1288859988;1011.0
1288860137;38.0
1298079900;0.0
1298080320;694.0
1298080673;891.0
1298081807;759.0
1298082021;0.0
1298083346;33.0
1300642467;33.0
1301570583;50.0
1305564758;100.0
1318316820;133.0
1322466351;0.0
1322501521;100.0
1329166221;894.0
1331660408;790.0
1331697409;0.0
1340298520;371.0
1340569906;255.0
1340571129;43.0
1340571471;261.0
1340571803;101.0
1340572109;0.0
1340575701;1237.0
1340576350;857.0
1340576783;317.0
1340578131;60.0
1340585421;209.0
1340585774;19.0
1340585936;1983.0
1340589257;100.0
1340589761;0.0
1340961695;0.0
1342534506;150.0
1353268934;0.0
1371871906;133.0
1379961440;162.0
1380381711;700.0
1380384060;1005.0
1380384737;575.0
1380385890;706.0
1380386357;809.0
1380386438;125.0
1380386780;50.0
1380387752;50.0
1380387833;1600.0
1380389534;400.0
1380391350;951.0
1380391865;509.0
1393821782;850.0
1403036853;1887.0
1403169497;0.0
1404135103;695.0
1404136266;1439.0
1404136690;475.0
1404138200;65.0
1414732236;616.0
1414732740;80.0
1414733399;536.0
1414735090;100.0
1404140379;0.0
1404142827;0.0
1404144609;16.0
1404144951;66.0
1404145257;850.0
1404146490;150.0
1404147624;1151.0
1404148868;1570.0
1404150846;0.0
1404151575;230.0
1404152547;68.0
1404152970;605.0
1404153004;59.0
1404154590;131.0
1404155309;189.0
1404155562;88.0
1404156372;759.0
1404157425;156.0
1404157778;1227.0
1404157859;110.0
1404159045;0.0
1406776076;113.0
1406776238;435.0
1406793590;33.0
1406795372;706.0
1406795453;473.0
1406797154;75.0
1406797316;44.0
1407815792;397.0
1407815954;0.0
1407817493;616.0
1407817655;18.0
1407817906;1346.0
1407818546;416.0
1407818899;187.0
1407822659;882.0
1407824007;100.0
1407825321;759.0
1407826565;1166.0
1407826646;0.0
1407829157;780.0
1407829661;593.0
1407830406;997.0
1407830597;529.0
1407831135;759.0
1407831569;759.0
1407831801;45.0
1407833006;166.0
1407834312;759.0
1407834584;65.0
1407835122;50.0
1407835394;434.0
1407836951;0.0
1407838067;113.0
1407838229;800.0
1407839039;183.0
1407839705;55.0
1407840126;0.0
1407840207;0.0
1407842501;1875.0
1407842765;1269.0
1407845004;41.0
1407845357;720.0
1407845861;933.0
1407847996;1422.0
1407850199;1518.0
1407850865;440.0
1407852302;216.0
1407853961;0.0
1407855743;751.0
1407857606;573.0
1407860232;891.0
1407860747;986.0
1412364183;730.0
1412365074;221.0
1412365740;545.0
1412366399;255.0
1412366631;0.0
1412367107;32.0
1412367360;626.0
1412368090;1518.0
1412368685;315.0
1412369657;0.0
1412369908;140.0
1412370230;1287.0
1412371988;244.0
1412372445;389.0
1414729952;57.0
1414738439;100.0
1414738781;133.0
1414739591;64.0
1414740174;87.0
1414740689;292.0
1414741812;100.0
1414743009;141.0
1414744323;364.0
1414745648;0.0
1414746610;200.0
1414747500;435.0
1414748663;0.0
1414749120;16.0
1414751451;0.0
1414752008;3598.0
1414752504;0.0
1414753152;225.0
1414754710;449.0
1414755015;0.0
1414756500;0.0
1414756844;961.0
1414758979;0.0
1414760442;950.0
1414760876;1511.0
1414761767;474.0
1414761848;1653.0
1414762810;393.0
1414763115;0.0
1414764510;66.0
1414764600;5.0
1414764863;200.0
1414765088;621.0
1414766050;0.0
1414766483;1078.0
1414767617;1518.0
1414768427;40.0
1414769407;759.0
1414769580;946.0
1418447951;0.0
1418448176;99.0
1418448257;150.0
1418449652;255.0
1414771053;0.0
1414771649;1729.0
1414772378;0.0
1414772459;0.0
1414773340;379.0
1418418188;633.0
1418420166;83.0
1418421642;763.0
1418421723;1015.0
1418422029;41.0
1418422100;0.0
1418422967;583.0
1418424587;1518.0
1418425206;905.0
1418425559;839.0
1418430803;646.0
1418431010;1425.0
1418431362;579.0
1418431524;462.0
1418431605;0.0
1418431958;506.0
1418434540;155.0
1418434973;252.0
1418435279;759.0
1418437484;156.0
1418439851;1129.0
1418440000;379.0
1418440949;0.0
1418441406;180.0
1418441597;200.0
1418443611;87.0
1418444340;193.0
1418444421;706.0
1418446203;183.0
1418454303;759.0
1418455113;225.0
1418456357;72.0
1418457671;302.0
1418458481;1490.0
1418458643;48.0
1426356340;75.0
1426358040;50.0
1426358555;0.0
1426359101;902.0
1426359608;1830.0
1426359799;0.0
1426359950;13.0
1426361181;159.0
1427473781;559.0
1427473862;1777.0
1419784811;581.0
1422663612;1287.0
1422664007;1509.0
1422665747;550.0
1422666042;100.0
1422670236;100.0
1422670406;25.0
1422671631;1618.0
1422673251;1868.0
1422673685;980.0
1422674657;988.0
1422675890;0.0
1422677249;434.0
1422678210;50.0
1422679292;0.0
1422679969;1498.0
1422680380;591.0
1422680541;0.0
1422681947;737.0
1422686159;1199.0
1422686825;2534.0
1422687716;0.0
1422687805;1191.0
1422688011;8.0
1422688879;144.0
1422689506;1320.0
1422690423;25.0
1422692205;50.0
1422695654;1507.0
1422695816;506.0
1422696545;0.0
1422697436;50.0
1422698246;340.0
1422698327;70.0
1422698408;0.0
1422698912;399.0
1422702022;780.0
1422703185;756.0
1422704238;602.0
1422704580;117.0
1422705803;1518.0
1422706281;429.0
1422706443;173.0
1422706796;1108.0
1422708063;167.0
1422708225;470.0
1422708578;0.0
1422710475;200.0
1422712257;40.0
1422713814;744.0
1422715787;766.0
1422716597;304.0
1426345305;841.0
1426345810;1243.0
1426347278;0.0
1426347600;20.0
1426348401;1136.0
1426349645;25.0
1426350228;418.0
1426351119;911.0
1426351380;0.0
1426351461;429.0
1426351623;0.0
1426351704;489.0
1426352352;433.0
1426353162;996.0
1426353324;237.0
1426353596;3022.0
1426353758;857.0
1426354215;968.0
1427474400;1518.0
1427475059;0.0
1427475644;0.0
1427480729;103.0
1427480990;93.0
1427481539;126.0
1427481962;2009.0
1427483663;853.0
1427483825;1005.0
1427484040;0.0
1427484805;217.0
1427485100;0.0
1427487146;25.0
1427487227;100.0
1427488207;547.0
1427488622;608.0
1427491500;16.0
1427491763;622.0
1427493707;360.0
1427493979;1079.0
1427494002;361.0
1427494940;660.0
1427495408;336.0
1427496137;506.0
1430337354;66.0
1431898759;0.0
1431900168;70.0
1431900320;2.0
1431900591;453.0
1431901725;0.0
1431901806;0.0
1431901997;759.0
1431902888;0.0
1431903183;2115.0
1431904155;72.0
1431904236;1518.0
1431904589;153.0
1431905399;740.0
1431906280;0.0
1431907090;0.0
1431907251;1803.0
1431908142;0.0
1431908495;461.0
1431909203;236.0
1431909386;673.0
1431909971;0.0
1431910473;624.0
1431910635;600.0
1431913308;1649.0
1431913901;4.0
1432890808;96.0
1434897397;2124.0
1434898873;1293.0
1434899926;1518.0
1434902650;182.0
1434903702;972.0
1434905756;432.0
1434905837;87.0
1434905918;593.0
1434906647;0.0
1434907295;0.0
1434908003;0.0
1434910679;0.0
1434910830;699.0
1434911560;112.0
1448864640;482.0
1448866502;1263.0
1448870100;542.0
1437915590;202.0
1437916562;0.0
1437918344;0.0
1437920080;731.0
1437920241;37.0
1437921302;103.0
1437921990;120.0
1437922961;0.0
1437924077;200.0
1437924905;1151.0
1437926363;527.0
1439907722;0.0
1440376700;1412.0
1442648031;25.0
1442648465;706.0
1442648546;285.0
1442648899;307.0
1442649518;564.0
1442649860;200.0
1442651091;1231.0
1442652497;515.0
1442653540;1026.0
1442655402;0.0
1442655674;0.0
1442655917;150.0
1442656131;0.0
1442657103;1465.0
1444019244;506.0
1448857007;1524.0
1448861543;66.0
1448871425;759.0
1448872316;530.0
1448872740;1518.0
1448873045;213.0
1448874360;0.0
1448875099;1866.0
1448875170;1090.0
1448876818;638.0
1448877628;738.0
1448877709;1518.0
1448878195;225.0
1448879400;759.0
1448880416;660.0
1448880505;58.0
1448881579;160.0
1448882036;1390.0
1448882206;759.0
1448882621;759.0
1450505210;2166.0
1455588784;1518.0
1458841804;0.0
1458842100;798.0
1458843092;100.0
1458844064;1518.0
1458846008;750.0
1458846270;956.0
1458846512;525.0
1458847403;0.0
1458847675;706.0
1458847756;0.0
1458848485;972.0
1458850030;62.0
1458850200;66.0
1458850625;922.0
1458852245;0.0
1458852830;0.0
1458854450;453.0
1458855422;204.0
1458855503;0.0
1458855694;775.0
1458856070;66.0
1458858286;616.0
1458858529;16.0
1458860779;150.0
1458860930;1265.0
1458861074;0.0
1458861236;0.0
1458861821;1863.0
1458861902;915.0
1458862801;155.0
1458862984;379.0
1458863522;100.0
1458864170;759.0
1458864332;83.0
1458864413;844.0
1458864847;579.0
1458866033;2933.0
1458866971;262.0
1460794184;710.0
1461666554;874.0
1461666805;22.0
1461667607;1568.0
1461667879;1518.0
1461669308;308.0
1461670152;0.0
1461671205;1755.0
1466697709;1732.0
1466698519;753.0
1470749599;479.0
1473369533;0.0
1473370540;333.0
1473371600;75.0
1473372089;277.0
1473372160;788.0
1473373301;887.0
1473374456;0.0
1473375347;0.0
1473375690;934.0
1473376157;61.0
1473376661;1012.0
1473377200;115.0
1473377633;759.0
1473377803;17.0
1473378524;421.0
1473378605;0.0
1473379172;1862.0
1473379334;446.0
1473379504;1906.0
1474144233;446.0
