ANO;CATEGORIA_TRIBUTO;TRIBUTO;TOTAL_RECEITA
2023;ACRÉSCIMOS;Multa/Juros/Mora - Impostos/Diversos;2429294.18
2023;DIVIDA ATIVA;Dívida Ativa de Outros Tributos - Ex. Taxas;38889609.57
2023;DIVIDA ATIVA;Dívida Ativa Não Tributária de outras receitas - Água;3427437.01
2023;DIVIDA ATIVA;Dívida Ativa sobre IPTU;78039140.86
2023;DIVIDA ATIVA;Dívida Ativa sobre ISSQN;14870119.84
2023;IPTU ORIGEM;Imposto Predial;379577004.76
2023;IPTU ORIGEM;Taxa de Limpeza Pública;62233506.82
2023;IPTU ORIGEM;Taxas Diversas;3948654.23
2023;ISS ORIGEM;Imposto Sobre Serviços Qualquer Natureza via ISS Eletrônico;1574699164.09
2023;ITBI;Imposto Sobre Transmissão de Bens Intervivos;90825020.75
2023;MULTAS;Dívida Ativa - Multas;3398250.45
2023;OUTROS;Outras rendas diversas;7123893.06
2023;TAXAS ORIGEM;Taxa de Licença de Funcionamento;16690998.61
2023;TAXAS ORIGEM;Taxa de Licença para Publicidade;1028517.65
2024;ACRÉSCIMOS;Multa/Juros/Mora - Impostos/Diversos;66047599.82
2024;DIVIDA ATIVA;Dívida Ativa de Outros Tributos - Ex. Taxas;22624817.7
2024;DIVIDA ATIVA;Dívida Ativa Não Tributária de outras receitas - Água;669261.61
2024;DIVIDA ATIVA;Dívida Ativa sobre IPTU;38585391.53
2024;DIVIDA ATIVA;Dívida Ativa sobre ISSQN;4449367.4
2024;IPTU ORIGEM;Imposto Predial;409017926.79
2024;IPTU ORIGEM;Taxa de Limpeza Pública;66460666.42
2024;ISS ORIGEM;Imposto Sobre Serviços Qualquer Natureza;1785122886.42
2024;ITBI;Imposto Sobre Transmissão de Bens Intervivos;92058684.82
2024;MULTAS;Dívida Ativa - Multas;3972516.98
2024;OUTROS;Outras rendas diversas;11224930.48
2024;TAXAS ORIGEM;Taxa de Licença de Funcionamento;16661605.75
2024;TAXAS ORIGEM;Taxa de Licença para Publicidade;1128916.81
2024;TAXAS ORIGEM;Taxa para Ocupação do Solo;245130.86
2025;ACRÉSCIMOS;Multa/Juros/Mora - Impostos/Diversos;28564101.49
2025;DIVIDA ATIVA;Dívida Ativa de Outros Tributos - Ex. Taxas;9403942.25
2025;DIVIDA ATIVA;Dívida Ativa Não Tributária de outras receitas - Água;277909.33
2025;DIVIDA ATIVA;Dívida Ativa sobre IPTU;15159218.87
2025;DIVIDA ATIVA;Dívida Ativa sobre ISSQN;1720345.04
2025;IPTU ORIGEM;Imposto Predial;270586939.8
2025;IPTU ORIGEM;Taxa de Limpeza Pública;42833313.26
2025;ISS ORIGEM;Imposto Sobre Serviços Qualquer Natureza;844872743.17
2025;ITBI;Imposto Sobre Transmissão de Bens Intervivos;33418814.35
2025;MULTAS;Dívida Ativa - Multas;3402451.0
2025;OUTROS;Outras rendas diversas;4513228.07
2025;TAXAS ORIGEM;Taxa de Licença de Funcionamento;1225788.2
2025;TAXAS ORIGEM;Taxa de Licença para Publicidade;46981.18
2025;TAXAS ORIGEM;Taxa para Ocupação do Solo;4655.81
